photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
WB1_23_0020_S_3,WB1_23_0020,39,data/Bombus/terrain/extraction/light/images/WB1_23_0020_S_3.jpg,OK,0.0046107803245805795,0,,0.0010
WB1_23_0021_S_1,WB1_23_0021,40,data/Bombus/terrain/extraction/light/images/WB1_23_0021_S_1.jpg,OK,0.004552615646940629,0,,0.0011
WB1_23_0021_S_2,WB1_23_0021,41,data/Bombus/terrain/extraction/light/images/WB1_23_0021_S_2.jpg,OK,0.004555052053674269,0,,0.0010
WB1_23_0021_S_3,WB1_23_0021,42,data/Bombus/terrain/extraction/light/images/WB1_23_0021_S_3.jpg,OK,0.004523318598263366,0,,0.0010
WB1_23_0022_S_1,WB1_23_0022,43,data/Bombus/terrain/extraction/light/images/WB1_23_0022_S_1.jpg,OK,0.004703062889801601,0,,0.0010
WB1_23_0022_S_2,WB1_23_0022,44,data/Bombus/terrain/extraction/light/images/WB1_23_0022_S_2.jpg,OK,0.0048108280465201944,0,,0.0010
WB1_23_0022_S_3,WB1_23_0022,45,data/Bombus/terrain/extraction/light/images/WB1_23_0022_S_3.jpg,OK,0.004691408027581766,0,,0.0010
WB1_23_0023_S_1,WB1_23_0023,46,data/Bombus/terrain/extraction/light/images/WB1_23_0023_S_1.jpg,OK,0.004598045595986405,0,,0.0011
WB1_23_0023_S_2,WB1_23_0023,47,data/Bombus/terrain/extraction/light/images/WB1_23_0023_S_2.jpg,OK,0.0045545446915554386,0,,0.0010
WB1_23_0023_S_3,WB1_23_0023,48,data/Bombus/terrain/extraction/light/images/WB1_23_0023_S_3.jpg,OK,0.004597809936085984,0,,0.0011
WB1_23_0024_S_1,WB1_23_0024,49,data/Bombus/terrain/extraction/light/images/WB1_23_0024_S_1.jpg,OK,0.004777913870217426,0,,0.0011
WB1_23_0024_S_2,WB1_23_0024,50,data/Bombus/terrain/extraction/light/images/WB1_23_0024_S_2.jpg,OK,0.0047368265853290886,0,,0.0012
WB1_23_0024_S_3,WB1_23_0024,51,data/Bombus/terrain/extraction/light/images/WB1_23_0024_S_3.jpg,OK,0.004738447661673574,0,,0.0012
WB1_23_0025_S_1,WB1_23_0025,52,data/Bombus/terrain/extraction/light/images/WB1_23_0025_S_1.jpg,OK,0.004611239612082759,0,,0.0011
