photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
WB1_23_0128_S_1,WB1_23_0128,238,data/Bombus/terrain/extraction/light/images/WB1_23_0128_S_1.jpg,OK,0.004673201244255,0.0,,0.001
WB1_23_0128_S_2,WB1_23_0128,239,data/Bombus/terrain/extraction/light/images/WB1_23_0128_S_2.jpg,OK,0.0046533875810021,0.0,,0.001
WB1_23_0128_S_3,WB1_23_0128,240,data/Bombus/terrain/extraction/light/images/WB1_23_0128_S_3.jpg,OK,0.0046530505044748,0.0,,0.001
WB1_23_0129_S_1,WB1_23_0129,241,data/Bombus/terrain/extraction/light/images/WB1_23_0129_S_1.jpg,OK,0.0045945916030111,0.0,,0.001
WB1_23_0129_S_2,WB1_23_0129,242,data/Bombus/terrain/extraction/light/images/WB1_23_0129_S_2.jpg,OK,0.0045674970292301,0.0,,0.0011
WB1_23_0129_S_3,WB1_23_0129,243,data/Bombus/terrain/extraction/light/images/WB1_23_0129_S_3.jpg,OK,0.0046121180660288,0.0,,0.001
WB1_23_0129_S_4,WB1_23_0129,244,data/Bombus/terrain/extraction/light/images/WB1_23_0129_S_4.jpg,OK,0.0046255468353348,0.0,,0.001
WB1_23_0130_S_1,WB1_23_0130,245,data/Bombus/terrain/extraction/light/images/WB1_23_0130_S_1.jpg,OK,0.0046751319039565,0.0,,0.0009
WB1_23_0130_S_2,WB1_23_0130,246,data/Bombus/terrain/extraction/light/images/WB1_23_0130_S_2.jpg,OK,0.0047077345542405,0.0,,0.0009
WB1_23_0130_S_3,WB1_23_0130,247,data/Bombus/terrain/extraction/light/images/WB1_23_0130_S_3.jpg,OK,0.0047748281800761,1.0,,0.0009
WB1_23_0131_S_1,WB1_23_0131,248,data/Bombus/terrain/extraction/light/images/WB1_23_0131_S_1.jpg,OK,0.0046888006626562,0.0,,0.001
WB1_23_0131_S_2,WB1_23_0131,249,data/Bombus/terrain/extraction/light/images/WB1_23_0131_S_2.jpg,OK,0.0047695847750467,0.0,,0.0011
WB1_23_0131_S_3,WB1_23_0131,250,data/Bombus/terrain/extraction/light/images/WB1_23_0131_S_3.jpg,OK,0.004856419886283,0.0,,0.0011
WB1_23_0132_S_1,WB1_23_0132,251,data/Bombus/terrain/extraction/light/images/WB1_23_0132_S_1.jpg,OK,0.0046198863549598,0.0,,0.001
WB1_23_0132_S_2,WB1_23_0132,252,data/Bombus/terrain/extraction/light/images/WB1_23_0132_S_2.jpg,OK,0.0045558174667884,0.0,,0.001
WB1_23_0132_S_3,WB1_23_0132,253,data/Bombus/terrain/extraction/light/images/WB1_23_0132_S_3.jpg,OK,0.0045472646866328,0.0,,0.001
WB1_23_0133_S_1,WB1_23_0133,254,data/Bombus/terrain/extraction/light/images/WB1_23_0133_S_1.jpg,OK,0.0045708511650987,0.0,,0.0009
WB1_23_0133_S_2,WB1_23_0133,255,data/Bombus/terrain/extraction/light/images/WB1_23_0133_S_2.jpg,OK,0.004586092971842,0.0,,0.0009
WB1_23_0133_S_3,WB1_23_0133,256,data/Bombus/terrain/extraction/light/images/WB1_23_0133_S_3.jpg,OK,0.0045683367255023,0.0,,0.001
WB1_23_0134_S_1,WB1_23_0134,257,data/Bombus/terrain/extraction/light/images/WB1_23_0134_S_1.jpg,OK,0.0044737378271251,0.0,,0.001
WB1_23_0134_S_2,WB1_23_0134,258,data/Bombus/terrain/extraction/light/images/WB1_23_0134_S_2.jpg,OK,0.0044541266611386,0.0,,0.001
WB1_23_0134_S_3,WB1_23_0134,259,data/Bombus/terrain/extraction/light/images/WB1_23_0134_S_3.jpg,OK,0.0044592611621018,0.0,,0.0009
WB1_23_0135_S_1,WB1_23_0135,260,data/Bombus/terrain/extraction/light/images/WB1_23_0135_S_1.jpg,FAILED,inf,,"17 landmarks, 18 expected",0.0
WB1_23_0135_S_2,WB1_23_0135,261,data/Bombus/terrain/extraction/light/images/WB1_23_0135_S_2.jpg,OK,0.0046046225856567,0.0,,0.0011
WB1_23_0135_S_3,WB1_23_0135,262,data/Bombus/terrain/extraction/light/images/WB1_23_0135_S_3.jpg,OK,0.004698003857677,0.0,,0.001
WB1_23_0135_S_4,WB1_23_0135,263,data/Bombus/terrain/extraction/light/images/WB1_23_0135_S_4.jpg,OK,0.0046123701465032,0.0,,0.001
WB1_23_0136_S_1,WB1_23_0136,264,data/Bombus/terrain/extraction/light/images/WB1_23_0136_S_1.jpg,FAILED,inf,,"15 landmarks, 18 expected",0.0
WB1_23_0137_S_1,WB1_23_0137,265,data/Bombus/terrain/extraction/light/images/WB1_23_0137_S_1.jpg,OK,0.004581489415335,0.0,,0.0011
WB1_23_0138_S_1,WB1_23_0138,266,data/Bombus/terrain/extraction/light/images/WB1_23_0138_S_1.jpg,OK,0.0046942326406939,0.0,,0.001
WB1_23_0139_S_1,WB1_23_0139,267,data/Bombus/terrain/extraction/light/images/WB1_23_0139_S_1.jpg,OK,0.0045644670525465,0.0,,0.0011
WB1_23_0140_S_1,WB1_23_0140,268,data/Bombus/terrain/extraction/light/images/WB1_23_0140_S_1.jpg,OK,0.0045857464989175,0.0,,0.001
WB1_23_0141_S_1,WB1_23_0141,269,data/Bombus/terrain/extraction/light/images/WB1_23_0141_S_1.jpg,OK,0.0047368590259601,0.0,,0.0011
WB1_23_0142_S_1,WB1_23_0142,270,data/Bombus/terrain/extraction/light/images/WB1_23_0142_S_1.jpg,OK,0.0047096650409888,1.0,,0.001
WB1_23_0143_S_1,WB1_23_0143,271,data/Bombus/terrain/extraction/light/images/WB1_23_0143_S_1.jpg,OK,0.0047635015324539,0.0,,0.001
WB1_23_0144_S_1,WB1_23_0144,272,data/Bombus/terrain/extraction/light/images/WB1_23_0144_S_1.jpg,OK,0.0048791220086823,0.0,,0.001
WB1_23_0145_S_1,WB1_23_0145,273,data/Bombus/terrain/extraction/light/images/WB1_23_0145_S_1.jpg,OK,0.0044607004866247,1.0,,0.001
WB1_23_0146_S_1,WB1_23_0146,274,data/Bombus/terrain/extraction/light/images/WB1_23_0146_S_1.jpg,OK,0.0046809450449828,0.0,,0.0009
WB1_23_0147_S_1,WB1_23_0147,275,data/Bombus/terrain/extraction/light/images/WB1_23_0147_S_1.jpg,OK,0.0048033862329978,0.0,,0.0009
