photo_id,inv_id,status,error_reason,n_landmarks_found,model_name,processing_time_s,processed_at
WB1_23_0001_S_1,WB1_23_0001,OK,,18,weights,0.1619,2026-09-11T10:38:28+00:00
WB1_23_0001_S_2,WB1_23_0001,OK,,18,weights,0.0912,2026-09-11T10:38:29+00:00
WB1_23_0001_S_3,WB1_23_0001,OK,,18,weights,0.0890,2026-09-11T10:38:29+00:00
WB1_23_0002_S_1,WB1_23_0002,OK,,18,weights,0.0903,2026-09-11T10:38:29+00:00
WB1_23_0002_S_2,WB1_23_0002,OK,,18,weights,0.0988,2026-09-11T10:38:29+00:00
WB1_23_0002_S_3,WB1_23_0002,OK,,18,weights,0.0922,2026-09-11T10:38:29+00:00
WB1_23_0003_S_1,WB1_23_0003,SUSPECT,only_16_of_18_expected_maxima,16,weights,0.0898,2026-09-11T10:38:29+00:00
WB1_23_0003_S_2,WB1_23_0003,SUSPECT,only_15_of_18_expected_maxima,15,weights,0.0893,2026-09-11T10:38:29+00:00
WB1_23_0003_S_3,WB1_23_0003,SUSPECT,only_16_of_18_expected_maxima,16,weights,0.0899,2026-09-11T10:38:29+00:00
WB1_23_0004_S_1,WB1_23_0004,OK,,18,weights,0.0908,2026-09-11T10:38:29+00:00
WB1_23_0004_S_2,WB1_23_0004,OK,,18,weights,0.0929,2026-09-11T10:38:29+00:00
WB1_23_0004_S_3,WB1_23_0004,OK,,18,weights,0.0889,2026-09-11T10:38:29+00:00
WB1_23_0005_S_1,WB1_23_0005,FAILED,no_local_maximum,0,weights,0.0861,2026-09-11T10:38:30+00:00
WB1_23_0005_S_2,WB1_23_0005,OK,,18,weights,0.0898,2026-09-11T10:38:30+00:00
WB1_23_0005_S_3,WB1_23_0005,OK,,18,weights,0.0886,2026-09-11T10:38:30+00:00
WB1_23_0006_S_1,WB1_23_0006,OK,,18,weights,0.0880,2026-09-11T10:38:30+00:00
WB1_23_0006_S_2,WB1_23_0006,OK,,18,weights,0.0892,2026-09-11T10:38:30+00:00
WB1_23_0006_S_3,WB1_23_0006,OK,,18,weights,0.0891,2026-09-11T10:38:30+00:00
WB1_23_0007_S_1,WB1_23_0007,FAILED,no_local_maximum,0,weights,0.0837,2026-09-11T10:38:30+00:00
WB1_23_0007_S_2,WB1_23_0007,OK,,18,weights,0.0880,2026-09-11T10:38:30+00:00
WB1_23_0007_S_3,WB1_23_0007,OK,,18,weights,0.0891,2026-09-11T10:38:30+00:00
WB1_23_0008_S_1,WB1_23_0008,OK,,18,weights,0.0894,2026-09-11T10:38:30+00:00
WB1_23_0008_S_2,WB1_23_0008,OK,,18,weights,0.0877,2026-09-11T10:38:30+00:00
WB1_23_0008_S_3,WB1_23_0008,SUSPECT,only_16_of_18_expected_maxima,16,weights,0.0879,2026-09-11T10:38:30+00:00
WB1_23_0009_S_1,WB1_23_0009,OK,,18,weights,0.0929,2026-09-11T10:38:31+00:00
WB1_23_0009_S_2,WB1_23_0009,OK,,18,weights,0.0921,2026-09-11T10:38:31+00:00
WB1_23_0009_S_3,WB1_23_0009,OK,,18,weights,0.0900,2026-09-11T10:38:31+00:00
