device,n,accuracy,shape_variance
P1,514,0.811284046692607,0.0012797574605177635
P2,510,0.8235294117647058,0.0013108749665207873
P3,20,0.8,0.001407584924816302
P4,7,0.5714285714285714,0.0037915378239403324
P5,4,1.0,0.0005556533642124582
S1,514,0.8210116731517509,0.0012688176923283255
S2,513,0.8089668615984406,0.0012558407020181156
S3,519,0.7957610789980732,0.0013103721305522328
S4,5,1.0,0.0010784712806220838
S5,6,0.6666666666666667,0.007178292198318219
