caste,n,precision,recall,f1,shape_variance
male,1299,0.8221374045801527,0.8290993071593533,0.8256036795707168,0.0013768601768415207
queen,179,0.8855421686746988,0.8212290502793296,0.8521739130434782,0.0012963448084320577
worker,1134,0.7887323943661971,0.7901234567901234,0.7894273127753304,0.0010371568567893311
