Numéro d'inventaire,JJ,MM,AAAA,Lieu capture,genre,sp,Identificateur,Photographe,Type d'appareil,Nombre de photo,
WB1_23_0069,8,7,2023,Isère Taillefer,Bombus,pratorum,Arthropologia,Lygia Ecuyer,Huawei P30 lite,3,
WB1_23_0070,8,7,2023,Isère Taillefer,Bombus,pratorum,Arthropologia,Lygia Ecuyer,Huawei P30 lite,3,
WB1_23_0076,19,7,2023,Bennecourt,Bombus,Lapidarius,Tarek Bayan,Tarek Bayan,Huawei P30,3,
WB1_23_0077,19,7,2023,Bennecourt,Bombus,Lapidarius,Tarek Bayan,Tarek Bayan,Huawei P30,3,
WB1_23_0078,19,7,2023,Bennecourt,Bombus,Lapidarius,Tarek Bayan,Tarek Bayan,Huawei P30,3,
WB1_23_0079,19,7,2023,Bennecourt,Bombus,Lapidarius,Tarek Bayan,Tarek Bayan,Huawei P30,3,
WB1_23_0080,19,7,2023,Bennecourt,Bombus,Lapidarius,Tarek Bayan,Tarek Bayan,Huawei P30,3,
WB1_23_0081,19,7,2023,Bennecourt,Bombus,Lapidarius,Tarek Bayan,Tarek Bayan,Huawei P30,3,
WB1_23_0082,19,7,2023,Bennecourt,Bombus,Lapidarius,Tarek Bayan,Tarek Bayan,Huawei P30,3,
WB1_23_0083,19,7,2023,Omerville,Bombus,Lapidarius,Tarek Bayan,Tarek Bayan,Huawei P30,3,
WB1_23_0084,19,7,2023,Omerville,Bombus,Lapidarius,Tarek Bayan,Tarek Bayan,Huawei P30,3,
WB1_23_0085,19,7,2023,St Gervais,Bombus,Lapidarius,Tarek Bayan,Tarek Bayan,Huawei P30,3,
WB1_23_0086,19,7,2023,St Gervais,Bombus,Sylvarum,Tarek Bayan,Tarek Bayan,Huawei P30,3,
WB1_23_0087,19,7,2023,St Gervais,Bombus,Sylvarum,Tarek Bayan,Tarek Bayan,Huawei P30,3,
WB1_23_0091,21,7,2023,La puch,Bombus,Sylvarum,Arthropologia,Basile Petit,Samsung s10,3,
WB1_23_0092,21,7,2023,La puch,Bombus,Lapidarius,Arthropologia,Basile Petit,Samsung s10,3,
WB1_23_0093,21,7,2023,La puch,Bombus,Lapidarius,Arthropologia,Basile Petit,Samsung s10,3,
WB1_23_0094,21,7,2023,La puch,Bombus,Lapidarius,Arthropologia,Basile Petit,Samsung s10,3,
WB1_23_0095,21,7,2023,La puch,Bombus,Lapidarius,Arthropologia,Basile Petit,Samsung s10,3,
WB1_23_0096,21,7,2023,La puch,Bombus,Lapidarius,Arthropologia,Basile Petit,Samsung s10,3,
WB1_23_0097,21,7,2023,La puch,Bombus,Lapidarius,Arthropologia,Basile Petit,Samsung s10,3,
WB1_23_0098,21,7,2023,La puch,Bombus,pratorum,Arthropologia,Basile Petit,Samsung s10,3,
WB1_23_0099,21,7,2023,La puch,Bombus,Lapidarius,Arthropologia,Basile Petit,Samsung s10,3,
WB1_23_0100,21,7,2023,La puch,Bombus,,Arthropologia,Basile Petit,Samsung s10,3,
WB1_23_0106,22,7,2023,St Didier,Bombus,lapidarius,Arthropologia,Victor Redon,Fairphone 3+,3,
WB1_23_0107,22,7,2023,St Didier,Bombus,lapidarius,Arthropologia,Victor Redon,Fairphone 3+,3,
WB1_23_0108,22,7,2023,St Didier,Bombus,lapidarius,Arthropologia,Victor Redon,Fairphone 3+,3,
WB1_23_0109,22,7,2023,St Didier,Bombus,lapidarius,Arthropologia,Victor Redon,Fairphone 3+,3,
