source_type,original_id,inv_num,inv_id,inv_name,resolved_conflict,frozen_at
collection,2020.03926,15,ARLY_PRAT_0015,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA4898,16,ARLY_PRAT_0016,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA4926,17,ARLY_PRAT_0017,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA5103,18,ARLY_PRAT_0018,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA57210,19,ARLY_PRAT_0019,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA7153,20,ARLY_PRAT_0020,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA7155,21,ARLY_PRAT_0021,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA7548,22,ARLY_PRAT_0022,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8201,23,ARLY_PRAT_0023,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8206,24,ARLY_PRAT_0024,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8212,25,ARLY_PRAT_0025,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8228,26,ARLY_PRAT_0026,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8228b,27,ARLY_PRAT_0027,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8233,28,ARLY_PRAT_0028,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8238,29,ARLY_PRAT_0029,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8239,30,ARLY_PRAT_0030,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8239b,31,ARLY_PRAT_0031,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8240,32,ARLY_PRAT_0032,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8240b,33,ARLY_PRAT_0033,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8240c,34,ARLY_PRAT_0034,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8240d,35,ARLY_PRAT_0035,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8607,36,ARLY_PRAT_0036,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8747,37,ARLY_PRAT_0037,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABAURA8764,38,ARLY_PRAT_0038,ARLY_PRAT,False,2026-09-07T18:12:37
collection,ABB.2017.20260,39,ARLY_PRAT_0039,ARLY_PRAT,False,2026-09-07T18:12:37
collection,AGR.2016.1415,40,ARLY_PRAT_0040,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD387770,41,ARLY_PRAT_0041,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD387770b,42,ARLY_PRAT_0042,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD387804,43,ARLY_PRAT_0043,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388229,44,ARLY_PRAT_0044,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388230,45,ARLY_PRAT_0045,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388230b,46,ARLY_PRAT_0046,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388230c,47,ARLY_PRAT_0047,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388408,48,ARLY_PRAT_0048,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388623,49,ARLY_PRAT_0049,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388623b,50,ARLY_PRAT_0050,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388623c,51,ARLY_PRAT_0051,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388623d,52,ARLY_PRAT_0052,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388623e,53,ARLY_PRAT_0053,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388769,54,ARLY_PRAT_0054,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388821,55,ARLY_PRAT_0055,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388821b,56,ARLY_PRAT_0056,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388821c,57,ARLY_PRAT_0057,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CD388821d,58,ARLY_PRAT_0058,ARLY_PRAT,True,2026-09-07T18:12:37
collection,CD388861b,59,ARLY_PRAT_0059,ARLY_PRAT,False,2026-09-07T18:12:37
collection,CEN187839,60,ARLY_PRAT_0060,ARLY_PRAT,False,2026-09-07T18:12:37
collection,D264520,61,ARLY_PRAT_0061,ARLY_PRAT,False,2026-09-07T18:12:37
collection,NoName1,62,ARLY_PRAT_0062,ARLY_PRAT,False,2026-09-07T18:12:37
collection,OPPO.2021.03276,63,ARLY_PRAT_0063,ARLY_PRAT,False,2026-09-07T18:12:37
collection,POLLINIS4351,64,ARLY_PRAT_0064,ARLY_PRAT,False,2026-09-07T18:12:37
collection,POLLINIS4393,65,ARLY_PRAT_0065,ARLY_PRAT,False,2026-09-07T18:12:37
collection,1036L,1,ARLY_SORO_0001,ARLY_SORO,False,2026-09-07T18:12:37
collection,BAR.2018.00342,2,ARLY_SORO_0002,ARLY_SORO,False,2026-09-07T18:12:37
collection,VAN-2019.00795,3,ARLY_SORO_0003,ARLY_SORO,False,2026-09-07T18:12:37
collection,ATBI_GR5,4,ARLY_SORO_0004,ARLY_SORO,False,2026-09-07T18:12:37
collection,ATBI_GR5b,5,ARLY_SORO_0005,ARLY_SORO,False,2026-09-07T18:12:37
collection,NoName2,6,ARLY_SORO_0006,ARLY_SORO,False,2026-09-07T18:12:37
collection,NoName3,7,ARLY_SORO_0007,ARLY_SORO,False,2026-09-07T18:12:37
collection,2012.0034,8,ARLY_SORO_0008,ARLY_SORO,False,2026-09-07T18:12:37
collection,2017.06254,9,ARLY_SORO_0009,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.00294,10,ARLY_SORO_0010,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.00339,11,ARLY_SORO_0011,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.00377,12,ARLY_SORO_0012,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.00410,13,ARLY_SORO_0013,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.00449,14,ARLY_SORO_0014,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.03886,15,ARLY_SORO_0015,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.03930,16,ARLY_SORO_0016,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.04010,17,ARLY_SORO_0017,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.04013,18,ARLY_SORO_0018,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.04044,19,ARLY_SORO_0019,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.06207,20,ARLY_SORO_0020,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.06348,21,ARLY_SORO_0021,ARLY_SORO,False,2026-09-07T18:12:37
collection,20A.07897,22,ARLY_SORO_0022,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA4902,23,ARLY_SORO_0023,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA4904,24,ARLY_SORO_0024,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA4915,25,ARLY_SORO_0025,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA4923,26,ARLY_SORO_0026,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA4923b,27,ARLY_SORO_0027,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA4928,28,ARLY_SORO_0028,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA4936,29,ARLY_SORO_0029,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA5591,30,ARLY_SORO_0030,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA5593,31,ARLY_SORO_0031,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA5633,32,ARLY_SORO_0032,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA7150,33,ARLY_SORO_0033,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA7151,34,ARLY_SORO_0034,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA7163,35,ARLY_SORO_0035,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8150,36,ARLY_SORO_0036,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8150b,37,ARLY_SORO_0037,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8150c,38,ARLY_SORO_0038,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8150d,39,ARLY_SORO_0039,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8151,40,ARLY_SORO_0040,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8203,41,ARLY_SORO_0041,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8204,42,ARLY_SORO_0042,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8205,43,ARLY_SORO_0043,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8205b,44,ARLY_SORO_0044,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8205c,45,ARLY_SORO_0045,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8205d,46,ARLY_SORO_0046,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8207,47,ARLY_SORO_0047,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8207b,48,ARLY_SORO_0048,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8207c,49,ARLY_SORO_0049,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8207d,50,ARLY_SORO_0050,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8207e,51,ARLY_SORO_0051,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8207f,52,ARLY_SORO_0052,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8208,53,ARLY_SORO_0053,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8208b,54,ARLY_SORO_0054,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8238a,55,ARLY_SORO_0055,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8238b,56,ARLY_SORO_0056,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8238c,57,ARLY_SORO_0057,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8238d,58,ARLY_SORO_0058,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8238e,59,ARLY_SORO_0059,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8239c,60,ARLY_SORO_0060,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8239d,61,ARLY_SORO_0061,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8526,62,ARLY_SORO_0062,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8526b,63,ARLY_SORO_0063,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8595,64,ARLY_SORO_0064,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8599,65,ARLY_SORO_0065,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8602,66,ARLY_SORO_0066,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8604,67,ARLY_SORO_0067,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8606,68,ARLY_SORO_0068,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8625,69,ARLY_SORO_0069,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8627,70,ARLY_SORO_0070,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8627b,71,ARLY_SORO_0071,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8852,72,ARLY_SORO_0072,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8852b,73,ARLY_SORO_0073,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8867,74,ARLY_SORO_0074,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8885,75,ARLY_SORO_0075,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8885b,76,ARLY_SORO_0076,ARLY_SORO,False,2026-09-07T18:12:37
