inv_id,source_type,dd,mm,yyyy,collection_origin,capture_mode,capture_region,capture_locality,collector,order,family,genus,species,caste,identifier,identification_year,photographer,specimen_state,device,device_type,n_photos
15L2021-1731,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,rupestris,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15L2021-1731,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,rupestris,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1732,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15L2021-1732,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1739,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15L2021-1739,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1740,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15L2021-1740,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1741,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15L2021-1741,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1742,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15L2021-1742,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1743,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15L2021-1743,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1748,collection,,,2021,Mehdi ISSERTES,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pomorum,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15L2021-1748,collection,,,2021,Mehdi ISSERTES,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pomorum,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1757,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,rupestris,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
