inv_id,source_type,genus,species,caste,identifier_level,onsite_id,onsite_id_time_s,protocol_time_s,protocol_comment,ia1_id,ia1_top1,ia1_top3,ia2_id,ia2_top1,ia2_top3,ia3_id,ia3_top1,ia3_top3,dd,mm,yyyy,capture_locality,photographer,specimen_state,device,device_type,n_photos
WB1_23_0034,terrain,Bombus,rupestris,,accomplished amateur,rupestris,10.0,94.0,,rupestris,1.0,1.0,rupestris,1.0,1.0,rupstris,0.0,0.0,2,7,2023,La sache Tignes,Guilhem Poulard,alive,Samsung S10,S,3
WB1_23_0035,terrain,Bombus,monticola,,accomplished amateur,monticola,20.0,150.0,,monticola,1.0,1.0,monticola,1.0,1.0,monticola,1.0,1.0,2,7,2023,La sache Tignes,Guilhem Poulard,alive,Samsung S10,S,3
WB1_23_0036,terrain,Bombus,sichelii,,accomplished amateur,sichelii,30.0,200.0,,monticola,0.0,0.0,monticola,0.0,0.0,monticola,0.0,0.0,2,7,2023,La sache Tignes,Guilhem Poulard,alive,Samsung S10,S,3
WB1_23_0037,terrain,Bombus,rupestris,,accomplished amateur,rupestris,10.0,75.0,,rupestris,1.0,1.0,rupestris,1.0,1.0,rupestris,1.0,1.0,2,7,2023,La sache Tignes,Guilhem Poulard,alive,Samsung S10,S,3
WB1_23_0038,terrain,Bombus,wurflenii,,accomplished amateur,wurflenii,10.0,133.0,,monticola,0.0,0.0,wurflenii,1.0,1.0,monticola,0.0,1.0,2,7,2023,La sache Tignes,Guilhem Poulard,alive,Samsung S10,S,3
WB1_23_0039,terrain,Bombus,ruderarius,,accomplished amateur,ruderarius,10.0,240.0,,pratorum,0.0,0.0,pomorum,0.0,1.0,pomorum,0.0,0.0,2,7,2023,La sache Tignes,Guilhem Poulard,alive,Samsung S10,S,3
WB1_23_0040,terrain,Bombus,pyrenaeus,,accomplished amateur,pyrenaeus,70.0,90.0,,pratorum,0.0,0.0,Lapidarius,0.0,1.0,lapidarius,0.0,1.0,2,7,2023,La sache Tignes,Guilhem Poulard,alive,Samsung S10,S,3
WB1_23_0046,terrain,Bombus,soroeensis,,pro,soroeensis,40.0,374.0,,,,,,,,,,,7,7,2023,Isère,Frederic Vyghen,alive,Redmi ai camera,S,3
WB1_23_0047,terrain,Bombus,pratorum,,pro,pratorum,10.0,90.0,,,,,,,,,,,7,7,2023,Isère,Frederic Vyghen,alive,Redmi ai camera,S,3
WB1_23_0048,terrain,Bombus,soroeensis,,pro,soroeensis,20.0,94.0,,,,,,,,,,,7,7,2023,Isère,Frederic Vyghen,alive,Redmi ai camera,S,3
WB1_23_0049,terrain,Bombus,pratorum,,pro,pratorum,10.0,100.0,,,,,,,,,,,7,7,2023,Isère,Frederic Vyghen,alive,Redmi ai camera,S,3
WB1_23_0050,terrain,Bombus,pratorum,,pro,pratorum,10.0,98.0,,,,,,,,,,,7,7,2023,Isère,Frederic Vyghen,alive,Redmi ai camera,S,3
WB1_23_0051,terrain,Bombus,pratorum,,pro,pratorum,10.0,74.0,,,,,,,,,,,7,7,2023,Isère,Frederic Vyghen,alive,Redmi ai camera,S,3
WB1_23_0052,terrain,Bombus,lapidarius,,pro,lapidarius,30.0,90.0,,,,,,,,,,,7,7,2023,Isère,Frederic Vyghen,alive,Redmi ai camera,S,3
WB1_23_0053,terrain,Bombus,pratorum,,pro,pratorum,10.0,76.0,,,,,,,,,,,7,7,2023,Isère,Frederic Vyghen,alive,Redmi ai camera,S,3
WB1_23_0054,terrain,Bombus,pratorum,,pro,pratorum,10.0,54.0,,,,,,,,,,,7,7,2023,Isère,Frederic Vyghen,alive,Redmi ai camera,S,3
WB1_23_0055,terrain,Bombus,rupestris,,pro,rupestris,10.0,62.0,,,,,,,,,,,7,7,2023,Isère,Frederic Vyghen,alive,Redmi ai camera,S,3
WB1_23_0056,terrain,Bombus,pratorum,,pro,pratorum,10.0,78.0,,,,,,,,,,,7,7,2023,Isère,Frederic Vyghen,alive,Redmi ai camera,S,3
WB1_23_0061,terrain,Bombus,lapidarius,,novice amateur,lapidarius,60.0,,,ruderarius,0.0,1.0,ruderarius,0.0,1.0,ruderarius,0.0,1.0,8,7,2023,Isère Taillefer,Lygia Ecuyer,alive,Huawei P30 lite,S,3
WB1_23_0062,terrain,Bombus,lapidarius,,novice amateur,lapidarius,90.0,140.0,,monticola,0.0,0.0,monticola,0.0,0.0,monticola,0.0,0.0,8,7,2023,Isère Taillefer,Lygia Ecuyer,alive,Huawei P30 lite,S,3
WB1_23_0063,terrain,Bombus,lapidarius,,novice amateur,lapidarius,140.0,180.0,,monticola,0.0,1.0,monticola,0.0,0.0,monticola,0.0,0.0,8,7,2023,Isère Taillefer,Lygia Ecuyer,alive,Huawei P30 lite,S,3
WB1_23_0064,terrain,Bombus,pratorum,,novice amateur,pratorum,140.0,169.0,,sylvarum,0.0,1.0,sylvarum,0.0,1.0,sylvarum,0.0,1.0,8,7,2023,Isère Taillefer,Lygia Ecuyer,alive,Huawei P30 lite,S,3
WB1_23_0065,terrain,Bombus,lapidarius,,novice amateur,lapidarius,120.0,249.0,,monticola,0.0,0.0,monticola,0.0,0.0,monticola,0.0,0.0,8,7,2023,Isère Taillefer,Lygia Ecuyer,alive,Huawei P30 lite,S,3
WB1_23_0066,terrain,Bombus,lapidarius,,novice amateur,lapidarius,110.0,226.0,,pratorum,0.0,0.0,monticola,0.0,1.0,monticola,0.0,0.0,8,7,2023,Isère Taillefer,Lygia Ecuyer,alive,Huawei P30 lite,S,3
WB1_23_0067,terrain,Bombus,pratorum,,novice amateur,pratorum,65.0,122.0,,pratorum,1.0,1.0,pratorum,1.0,1.0,pratorum,1.0,1.0,8,7,2023,Isère Taillefer,Lygia Ecuyer,alive,Huawei P30 lite,S,3
