image_id,specimen_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
0016bd8ec772b47d,POLLINIS5133,6400870416823421,data\Bombus\extraction\light\images\train\POLLINIS5133-S1.jpg,FAILED,inf,,"11 landmarks, 18 attendus",0.0000
00191ea77da5b6f6,CD388016,7070579134150390,data\Bombus\extraction\light\images\train\CD388016-S2.jpg,OK,0.00462161192185155,0,,0.0036
002b56227fedafaa,WB1_23,12198130173718442,data\Bombus\extraction\light\images\test\WB1_23-adrien140.jpg,OK,0.004588099365609697,,,0.0030
00572780db9e4dc8,FR74ABOM160722001,24531757367709128,data\Bombus\extraction\light\images\train\FR74ABOM160722001-P1.jpg,OK,0.004445757861890608,0,,0.0027
005a201d2963ebdb,VAN-2019.00850,25368057524513755,data\Bombus\extraction\light\images\train\VAN-2019.00850-P2.jpg,OK,0.004466918582080823,0,,0.0030
00656a1f9d5104e4,FR73ABOM200722028,28545656663639268,data\Bombus\extraction\light\images\train\FR73ABOM200722028-S1.jpg,OK,0.00478726440664164,0,,0.0027
0067cfb57aa7310d,FR15ABOM200722065,29220300955005197,data\Bombus\extraction\light\images\train\FR15ABOM200722065-S1.jpg,OK,0.004341264012103202,0,,0.0029
00864951f118742e,WB1_23_0009,37798263165318190,data\Bombus\extraction\light\images\test\WB1_23_0009-charlotte3.jpg,OK,0.004982872647893601,0,,0.0032
0094b2ae1aa92fb8,FR15_STPONCY300921002,41854757394526136,data\Bombus\extraction\light\images\train\FR15_STPONCY300921002-S1.jpg,OK,0.0047160983578429065,1,,0.0031
00996352b4991156,FR74ABOM170722014,43174878305128790,data\Bombus\extraction\light\images\train\FR74ABOM170722014-S2.jpg,OK,0.004748987717486885,0,,0.0030
009d5a5d4b435a37,FR73ABOM130722037,44290928084736567,data\Bombus\extraction\light\images\train\FR73ABOM130722037-P2.jpg,OK,0.004359271199166983,0,,0.0030
00ae9cef05a13880,FR15ABOM200821010,49149196353222784,data\Bombus\extraction\light\images\train\FR15ABOM200821010-S2.jpg,OK,0.004397997116711606,0,,0.0027
00ce89624d1637d4,POLLINIS5983,58134900495497172,data\Bombus\extraction\light\images\train\POLLINIS5983-S2.jpg,OK,0.0044773041914958666,1,,0.0028
00e04687d702fd94,WB1_23_0034,63127944025013652,data\Bombus\extraction\light\images\test\WB1_23_0034-guilhem3.jpg,OK,0.004675669690007828,0,,0.0029
00f76d63ecf3d4c9,WB1_23_0039,69644595192124617,data\Bombus\extraction\light\images\test\WB1_23_0039-guilhem1.jpg,OK,0.004729982403540372,0,,0.0029
0126944d890a6876,ABAURA8852b,82916703885486198,data\Bombus\extraction\light\images\train\ABAURA8852b-S2.jpg,FAILED,inf,,"16 landmarks, 18 attendus",0.0000
