epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,106.974,0.75219,5.99531,0.05007,0.04045,0.82011,0.87334,0.92612,0.79571,0.57315,2.01976,0.00755,0.02412,0.000664459,0.000664459,0.000664459
2,205.602,0.69155,1.29652,0.0489,0.04049,0.934,0.91701,0.97458,0.81922,0.64008,0.73979,0.00778,0.04208,0.00131795,0.00131795,0.00131795
3,297.617,0.75461,0.71703,0.04991,0.04897,0.86493,0.86451,0.94154,0.76288,0.72238,0.62372,0.0114,0.06294,0.00195824,0.00195824,0.00195824
4,388.827,0.77363,0.58248,0.05314,0.05467,0.92647,0.87218,0.96213,0.80616,0.63775,0.48996,0.009,0.02019,0.0019406,0.0019406,0.0019406
5,481.944,0.71751,0.46325,0.05011,0.04583,0.89115,0.86451,0.944,0.79519,0.59077,0.53349,0.00709,0.02482,0.0019208,0.0019208,0.0019208
6,576.429,0.69829,0.42558,0.04486,0.0451,0.95084,0.94109,0.98683,0.84087,0.61134,0.31367,0.00743,0.02015,0.001901,0.001901,0.001901
7,659.929,0.66136,0.37198,0.04918,0.03709,0.93871,0.93962,0.98255,0.85292,0.54386,0.31202,0.00658,0.02147,0.0018812,0.0018812,0.0018812
8,738.667,0.65109,0.37324,0.04508,0.04022,0.93503,0.95386,0.98647,0.85934,0.53996,0.3085,0.00667,0.0211,0.0018614,0.0018614,0.0018614
9,817.5,0.64306,0.32693,0.05042,0.03918,0.96739,0.91751,0.98251,0.85381,0.54734,0.32769,0.00777,0.02001,0.0018416,0.0018416,0.0018416
10,900.275,0.63165,0.32695,0.04766,0.03772,0.94206,0.95782,0.98622,0.85278,0.57354,0.26868,0.00794,0.02263,0.0018218,0.0018218,0.0018218
11,982.722,0.64349,0.32457,0.05431,0.03889,0.94883,0.92855,0.98326,0.85464,0.55112,0.30396,0.00671,0.02453,0.001802,0.001802,0.001802
12,1061.04,0.61857,0.32928,0.04608,0.03587,0.9639,0.94551,0.98806,0.87631,0.5066,0.25135,0.00616,0.01968,0.0017822,0.0017822,0.0017822
13,1139.48,0.62446,0.2984,0.04142,0.03639,0.97321,0.96299,0.99187,0.85432,0.58556,0.23975,0.00724,0.02494,0.0017624,0.0017624,0.0017624
14,1218.54,0.62507,0.29667,0.04185,0.03564,0.97314,0.96052,0.99207,0.87952,0.50946,0.21109,0.00663,0.01915,0.0017426,0.0017426,0.0017426
15,1297.58,0.60637,0.27934,0.04556,0.03317,0.95588,0.95715,0.99086,0.88344,0.49782,0.23287,0.00618,0.02023,0.0017228,0.0017228,0.0017228
16,1375.9,0.62848,0.29416,0.03611,0.03727,0.96431,0.97349,0.99063,0.87381,0.52939,0.2246,0.00601,0.02189,0.001703,0.001703,0.001703
17,1454.31,0.61387,0.27649,0.03667,0.03304,0.96617,0.96733,0.991,0.877,0.52404,0.22341,0.00668,0.01702,0.0016832,0.0016832,0.0016832
18,1538.61,0.59053,0.26275,0.03879,0.03114,0.95567,0.95257,0.98789,0.88549,0.48904,0.25226,0.0062,0.01911,0.0016634,0.0016634,0.0016634
19,1618.5,0.5866,0.27664,0.04406,0.0339,0.97586,0.96171,0.99115,0.86799,0.53626,0.25199,0.00632,0.02338,0.0016436,0.0016436,0.0016436
20,1696.43,0.57427,0.27498,0.03865,0.02965,0.96653,0.93574,0.98833,0.85878,0.54283,0.24329,0.00568,0.02632,0.0016238,0.0016238,0.0016238
