idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
20,FR15_ABOM090820071_P1.JPG,OK,2582,1753,522,1268,0.0,0.654,0.93,2.43,3,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM090820071_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM090820071_P1.JPG
21,FR15_ABOM090820071_P2.JPG,OK,2560,1753,522,1264,0.0,0.804,0.931,2.42,1,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM090820071_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM090820071_P2.JPG
22,FR15_ABOM090820071_S1.jpg,OK,1211,1888,453,1051,0.0,0.873,0.912,2.32,4,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM090820071_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM090820071_S1.jpg
23,FR15_ABOM090820071_S2.jpg,OK,1278,1862,433,1028,0.0,0.881,0.886,2.37,3,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM090820071_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM090820071_S2.jpg
24,FR15_ABOM090820071_S3.jpg,OK,1258,2085,437,1020,0.0,0.826,0.902,2.33,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM090820071_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM090820071_S3.jpg
25,FR15_ABOM14080820006_P1.JPG,OK,2498,1803,584,1396,0.0,0.73,0.933,2.39,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM14080820006_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM14080820006_P1.JPG
26,FR15_ABOM14080820006_P2.JPG,OK,2439,1860,584,1401,0.0,0.824,0.928,2.4,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM14080820006_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM14080820006_P2.JPG
27,FR15_ABOM14080820006_S1.jpg,OK,1282,1920,453,1067,0.0,0.839,0.929,2.36,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM14080820006_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM14080820006_S1.jpg
28,FR15_ABOM14080820006_S2.jpg,OK,1162,1941,433,1079,0.0,0.683,0.931,2.49,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM14080820006_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM14080820006_S2.jpg
29,FR15_ABOM14080820006_S3.jpg,OK,1144,2124,453,1169,0.0,0.722,0.941,2.58,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM14080820006_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM14080820006_S3.jpg
30,FR15_ABOM170820009_P1.JPG,OK,2449,1803,584,1420,0.0,0.777,0.934,2.43,1,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM170820009_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM170820009_P1.JPG
31,FR15_ABOM170820009_P2.JPG,OK,2446,1841,584,1415,0.0,0.873,0.933,2.42,1,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM170820009_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM170820009_P2.JPG
32,FR15_ABOM170820009_S1.jpg,OK,1335,2148,469,1142,0.0,0.768,0.905,2.44,4,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM170820009_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM170820009_S1.jpg
33,FR15_ABOM170820009_S2.jpg,OK,1313,2053,469,1130,0.0,0.868,0.881,2.41,5,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM170820009_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM170820009_S2.jpg
34,FR15_ABOM170820009_S3.jpg,OK,1227,2179,469,1114,0.0,0.921,0.889,2.38,4,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM170820009_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM170820009_S3.jpg
35,FR15_ABOM170820030_P1.JPG,OK,2474,1847,1511,661,-4.594,0.772,0.95,2.29,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM170820030_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM170820030_P1.JPG
36,FR15_ABOM170820030_P2.JPG,OK,2437,1898,660,1463,0.0,0.607,0.949,2.22,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM170820030_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM170820030_P2.JPG
37,FR15_ABOM170820030_S1.jpg,OK,1159,1656,1168,415,-4.808,0.542,0.915,2.82,4,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM170820030_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM170820030_S1.jpg
38,FR15_ABOM170820030_S2.jpg,OK,1071,1962,1024,414,-1.364,0.58,0.898,2.47,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM170820030_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM170820030_S2.jpg
39,FR15_ABOM170820030_S3.jpg,OK,1108,1975,469,1193,0.0,0.391,0.927,2.55,3,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM170820030_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM170820030_S3.jpg
40,FR15ABOM150820018_P1.JPG,OK,2392,1774,527,1306,0.0,0.844,0.943,2.48,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM150820018_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM150820018_P1.JPG
41,FR15ABOM150820018_P2.JPG,OK,2373,1812,527,1306,0.0,0.779,0.938,2.48,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM150820018_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM150820018_P2.JPG
42,FR15ABOM150820018_S1.jpg,OK,1439,1738,406,965,0.0,0.873,0.872,2.38,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM150820018_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM150820018_S1.jpg
43,FR15ABOM150820018_S2.jpg,OK,1463,1799,402,1020,0.0,0.845,0.918,2.54,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM150820018_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM150820018_S2.jpg
44,FR15ABOM150820018_S3.jpg,OK,1447,1668,421,1020,0.0,0.894,0.9,2.42,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM150820018_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM150820018_S3.jpg
45,FR15ABOM170821029_P1.JPG,OK,2468,1774,565,1344,0.0,0.578,0.936,2.38,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM170821029_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM170821029_P1.JPG
46,FR15ABOM170821029_P2.JPG,OK,2468,1791,560,1344,0.0,0.239,0.939,2.4,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM170821029_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM170821029_P2.JPG
47,FR15ABOM170821029_S1.jpg,OK,1461,2114,433,1016,0.0,0.873,0.871,2.35,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM170821029_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM170821029_S1.jpg
