idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
79,WB1_23_0032_1,OK,1439,1809,169,374,0.0,0.703,0.82,2.21,1,data\images\wide\terrain\guilhem\WB1_23_0032_1.jpg,data\images\crop\terrain\guilhem\WB1_23_0032_1.jpg
80,WB1_23_0032_2,OK,1575,1990,154,362,0.0,0.717,0.795,2.36,2,data\images\wide\terrain\guilhem\WB1_23_0032_2.jpg,data\images\crop\terrain\guilhem\WB1_23_0032_2.jpg
81,WB1_23_0032_3,OK,1597,1847,150,374,0.0,0.688,0.813,2.5,2,data\images\wide\terrain\guilhem\WB1_23_0032_3.jpg,data\images\crop\terrain\guilhem\WB1_23_0032_3.jpg
82,WB1_23_0033_1,OK,1360,2170,134,343,0.0,0.816,0.85,2.56,2,data\images\wide\terrain\guilhem\WB1_23_0033_1.jpg,data\images\crop\terrain\guilhem\WB1_23_0033_1.jpg
83,WB1_23_0033_2,OK,1469,2093,138,307,0.0,0.776,0.853,2.23,2,data\images\wide\terrain\guilhem\WB1_23_0033_2.jpg,data\images\crop\terrain\guilhem\WB1_23_0033_2.jpg
84,WB1_23_0033_3,OK,1374,2101,185,276,0.0,0.273,0.778,1.49,2,data\images\wide\terrain\guilhem\WB1_23_0033_3.jpg,data\images\crop\terrain\guilhem\WB1_23_0033_3.jpg
85,WB1_23_0034_1,OK,1463,1660,374,768,0.0,0.908,0.809,2.05,2,data\images\wide\terrain\guilhem\WB1_23_0034_1.jpg,data\images\crop\terrain\guilhem\WB1_23_0034_1.jpg
86,WB1_23_0034_2,OK,1242,2073,382,862,0.0,0.862,0.82,2.26,2,data\images\wide\terrain\guilhem\WB1_23_0034_2.jpg,data\images\crop\terrain\guilhem\WB1_23_0034_2.jpg
87,WB1_23_0034_3,OK,1297,2264,323,721,0.0,0.77,0.801,2.23,2,data\images\wide\terrain\guilhem\WB1_23_0034_3.jpg,data\images\crop\terrain\guilhem\WB1_23_0034_3.jpg
88,WB1_23_0035_1,OK,1455,2361,232,469,0.0,0.585,0.877,2.02,2,data\images\wide\terrain\guilhem\WB1_23_0035_1.jpg,data\images\crop\terrain\guilhem\WB1_23_0035_1.jpg
89,WB1_23_0035_2,OK,1571,2162,181,417,0.0,0.839,0.849,2.3,3,data\images\wide\terrain\guilhem\WB1_23_0035_2.jpg,data\images\crop\terrain\guilhem\WB1_23_0035_2.jpg
90,WB1_23_0035_3,OK,1612,2240,181,437,0.0,0.887,0.834,2.41,2,data\images\wide\terrain\guilhem\WB1_23_0035_3.jpg,data\images\crop\terrain\guilhem\WB1_23_0035_3.jpg
91,WB1_23_0036_1,OK,1549,2794,248,437,0.0,0.901,0.8,1.76,4,data\images\wide\terrain\guilhem\WB1_23_0036_1.jpg,data\images\crop\terrain\guilhem\WB1_23_0036_1.jpg
92,WB1_23_0036_2,OK,1486,2455,232,500,0.0,0.861,0.819,2.15,3,data\images\wide\terrain\guilhem\WB1_23_0036_2.jpg,data\images\crop\terrain\guilhem\WB1_23_0036_2.jpg
93,WB1_23_0036_3,OK,1335,2156,201,449,0.0,0.907,0.899,2.24,5,data\images\wide\terrain\guilhem\WB1_23_0036_3.jpg,data\images\crop\terrain\guilhem\WB1_23_0036_3.jpg
94,WB1_23_0037_1,OK,1673,2689,354,906,0.0,0.87,0.753,2.56,3,data\images\wide\terrain\guilhem\WB1_23_0037_1.jpg,data\images\crop\terrain\guilhem\WB1_23_0037_1.jpg
95,WB1_23_0037_2,OK,1345,2573,311,752,0.0,0.603,0.79,2.42,2,data\images\wide\terrain\guilhem\WB1_23_0037_2.jpg,data\images\crop\terrain\guilhem\WB1_23_0037_2.jpg
96,WB1_23_0037_3,OK,1526,2538,303,799,0.0,0.709,0.791,2.64,1,data\images\wide\terrain\guilhem\WB1_23_0037_3.jpg,data\images\crop\terrain\guilhem\WB1_23_0037_3.jpg
97,WB1_23_0038_1,OK,1479,2534,169,358,0.0,0.962,0.851,2.12,1,data\images\wide\terrain\guilhem\WB1_23_0038_1.jpg,data\images\crop\terrain\guilhem\WB1_23_0038_1.jpg
98,WB1_23_0038_2,OK,1382,2469,134,291,0.0,0.849,0.822,2.18,2,data\images\wide\terrain\guilhem\WB1_23_0038_2.jpg,data\images\crop\terrain\guilhem\WB1_23_0038_2.jpg
99,WB1_23_0038_3,OK,1486,2093,138,311,0.0,0.518,0.826,2.26,3,data\images\wide\terrain\guilhem\WB1_23_0038_3.jpg,data\images\crop\terrain\guilhem\WB1_23_0038_3.jpg
100,WB1_23_0039_1,OK,1542,1855,165,421,0.0,0.766,0.851,2.55,2,data\images\wide\terrain\guilhem\WB1_23_0039_1.jpg,data\images\crop\terrain\guilhem\WB1_23_0039_1.jpg
101,WB1_23_0039_2,OK,1030,1652,169,406,0.0,0.861,0.806,2.4,3,data\images\wide\terrain\guilhem\WB1_23_0039_2.jpg,data\images\crop\terrain\guilhem\WB1_23_0039_2.jpg
102,WB1_23_0039_3,OK,1171,2424,201,469,0.0,0.895,0.887,2.33,3,data\images\wide\terrain\guilhem\WB1_23_0039_3.jpg,data\images\crop\terrain\guilhem\WB1_23_0039_3.jpg
103,WB1_23_0040_1,OK,1408,2170,134,374,0.0,0.687,0.873,2.79,2,data\images\wide\terrain\guilhem\WB1_23_0040_1.jpg,data\images\crop\terrain\guilhem\WB1_23_0040_1.jpg
104,WB1_23_0040_2,OK,1447,2431,217,547,0.0,0.985,0.914,2.53,2,data\images\wide\terrain\guilhem\WB1_23_0040_2.jpg,data\images\crop\terrain\guilhem\WB1_23_0040_2.jpg
105,WB1_23_0040_3,OK,1132,2132,217,579,0.0,0.979,0.886,2.67,2,data\images\wide\terrain\guilhem\WB1_23_0040_3.jpg,data\images\crop\terrain\guilhem\WB1_23_0040_3.jpg
106,WB1_23_0061_1,OK,1038,2017,412,990,7.953,0.898,0.837,2.4,1,data\images\wide\terrain\ligia\WB1_23_0061_1.jpg,data\images\crop\terrain\ligia\WB1_23_0061_1.jpg
107,WB1_23_0062_1,OK,1482,1545,355,699,0.0,0.765,0.721,1.97,2,data\images\wide\terrain\ligia\WB1_23_0062_1.jpg,data\images\crop\terrain\ligia\WB1_23_0062_1.jpg
108,WB1_23_0062_2,OK,1334,1600,340,652,0.0,0.932,0.822,1.92,1,data\images\wide\terrain\ligia\WB1_23_0062_2.jpg,data\images\crop\terrain\ligia\WB1_23_0062_2.jpg
109,WB1_23_0062_3,OK,1326,1732,324,637,0.0,0.947,0.8,1.96,2,data\images\wide\terrain\ligia\WB1_23_0062_3.jpg,data\images\crop\terrain\ligia\WB1_23_0062_3.jpg
