num_inv,collection_origine,mode_capture,jj,mm,aaaa,region,localite,collecteur,ordre,famille,genre,espece,caste,identificateur,année_identification,photographe,specimen,appareil,n_photos
15L2021-1498,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1498,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1499,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1499,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1514,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1514,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1546,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1546,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1585,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Sylvarum,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1585,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Sylvarum,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1731,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1731,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
