epoch,train_loss,val_loss
1,0.0019746729522012174,0.0017218247909719746
2,0.0014614232757594436,0.0015619981568306684
3,0.0013452866056468337,0.0014413579289490979
4,0.0013486741809174418,0.0014918516390025616
5,0.001255982689326629,0.0012530214929332335
6,0.0010935152240563184,0.0012084139743819833
7,0.001050871447660029,0.0011530253880967696
8,0.001029911034856923,0.0011894840669507782
9,0.0010210865002591163,0.0011895853482807677
10,0.0010059620020911098,0.0013311026462664206
11,0.000968738627852872,0.00124398913855354
12,0.0009556382457958535,0.0011791906629999478
13,0.0009825152374105528,0.0012655867806946237
14,0.0009607398067601025,0.0011857336309428017
15,0.0009526677837129683,0.0011311011233677466
16,0.0009484734880970791,0.0011173492530360818
17,0.0009487299364991486,0.0011670927827556927
18,0.0009143496659817174,0.0010780015727505088
19,0.0009728441858896985,0.0011712977041800816
20,0.0009757669438840821,0.0010805405133093398
21,0.0009651283995481208,0.0011926813361545403
22,0.000905873323790729,0.0011825105563427012
23,0.0009070100204553455,0.0011987552667657535
24,0.0009132442035479471,0.001199930440634489
25,0.0009494399506365881,0.00139302349028488
26,0.0010013058403274045,0.0011910420920078952
27,0.0009367358463350684,0.001169559118958811
28,0.0009018026437843218,0.001104312405611078
29,0.000912300223717466,0.001205549652998646
30,0.0009079381270566955,0.001133738396068414
31,0.0008935248013585805,0.0011586423109595974
32,0.000915762159274891,0.0011504659584412973
33,0.0008868314791470767,0.0010930839149902265
34,0.0009100286784814671,0.0011674793592343728
35,0.0008866848889738322,0.00108333812871327
36,0.0008718100230908022,0.0011507477999354403
37,0.0008720232435734943,0.0010854761543062825
38,0.0008788711740635336,0.0011622939491644502
