source,SS,df,MS,F,p (permutation)
Espèce (inter),2.142423580517402,15,0.14282823870116015,194.07957395537986,0.005
"Appareil | espèce (inter, emboîté)",0.026435963583109956,16,0.0016522477239443722,2.2451269948291053,0.01
Résiduel (intra cellule espèce x appareil),2.1864366689031685,2971,0.0007359261760024128,,
