source,SS,df,MS,F,p (permutation)
species,0.39308050401999894,11,0.03573459127454536,80467145974139.73,
caste,0.2117466571797334,22,0.009624848053624246,21673231053899.9,
specimen_id,1.1582427616047584,475,0.0024384058139047546,5490801757439.752,
Résiduel,4.440892098500626e-16,1,4.440892098500626e-16,,
