source,SS,df,MS,F,p (permutation)
species,0.39131586979068006,11,0.03557416998097091,160211818670315.28,
caste,0.21588834985563893,22,0.009813106811619952,44194304180158.49,
specimen_id,1.1499228713909655,478,0.002405696383663108,10834293337031.723,
Résiduel,2.220446049250313e-16,1,2.220446049250313e-16,,
