photo_id,inv_id,device_type,device,photo_index,photographer,ext,content_hash,file_size_bytes,path,status,status_reason
ARLY_0005_P_4,ARLY_0005,P,Canon EOS 70D - 40mm,4,Basile PETIT,.jpg,5ac788b83c6a7402,1479133,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0005_P_4.jpg,OK,
ARLY_0005_P_5,ARLY_0005,P,Canon EOS 70D - 40mm,5,Basile PETIT,.jpg,6c01b005b3858ba1,1440027,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0005_P_5.jpg,OK,
ARLY_0005_S_1,ARLY_0005,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,2a5fb9b57b2735b9,2202524,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0005_S_1.jpg,OK,
ARLY_0005_S_2,ARLY_0005,S,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,4a472942a84e06cd,2200312,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0005_S_2.jpg,OK,
ARLY_0005_S_3,ARLY_0005,S,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,45a9248ad2e66ee4,2230879,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0005_S_3.jpg,OK,
ARLY_0005_S_4,ARLY_0005,S,Canon EOS 70D - 40mm,4,Basile PETIT,.jpg,fa6fd304ca6eea45,2132183,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0005_S_4.jpg,OK,
ARLY_0005_S_5,ARLY_0005,S,Canon EOS 70D - 40mm,5,Basile PETIT,.jpg,c31c3e292e98e6ff,2151413,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0005_S_5.jpg,OK,
ARLY_0006_P_1,ARLY_0006,P,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,a3313086d2e9122d,1329273,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0006_P_1.jpg,OK,
ARLY_0006_P_2,ARLY_0006,P,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,8c3307e7a526dde1,1329942,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0006_P_2.jpg,OK,
ARLY_0006_P_3,ARLY_0006,P,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,7521a1522b71df02,1346949,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0006_P_3.jpg,OK,
ARLY_0006_S_1,ARLY_0006,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,72f66e3ef0ebe63b,2143054,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0006_S_1.jpg,OK,
ARLY_0006_S_2,ARLY_0006,S,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,1568867a55a38bd8,2096906,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0006_S_2.jpg,OK,
ARLY_0006_S_3,ARLY_0006,S,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,e51ae99df20488e6,2079913,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0006_S_3.jpg,OK,
ARLY_0007_P_1,ARLY_0007,P,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,30167346b354ca7b,1394624,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0007_P_1.jpg,OK,
ARLY_0007_P_2,ARLY_0007,P,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,28bba06b72e3a9c0,1386463,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0007_P_2.jpg,OK,
ARLY_0007_P_3,ARLY_0007,P,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,205fc07bba4737c7,1398441,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0007_P_3.jpg,OK,
ARLY_0007_S_1,ARLY_0007,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,6480ef42d5bd0f50,2115480,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0007_S_1.jpg,OK,
ARLY_0007_S_2,ARLY_0007,S,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,cd4e3b88e202b896,1900350,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0007_S_2.jpg,OK,
ARLY_0007_S_3,ARLY_0007,S,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,2e837c6b55dc3953,2207845,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0007_S_3.jpg,OK,
