inv_id,dd,mm,yyyy,collection_origin,capture_mode,capture_region,capture_locality,collector,order,family,genus,species,caste,identifier,identification_year,specimen_state,device.1,n_photos_P,n_photos_S
ARLY_PRAT_0002,11.0,6.0,2021.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,monticola,worker,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0003,,,2013.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0004,,,2019.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Gilles MAHÉ,2019.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0005,,,2019.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Frederic VYGHEN,2019.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0006,,,2019.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0007,,,2019.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0008,,,2019.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0009,,,2019.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Frederic VYGHEN,2019.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0010,,,2019.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0011,,,2019.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0012,,,2019.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0013,,,2019.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0014,,,2020.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0015,,,2020.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0016,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0017,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0018,,,2021.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Frederic VYGHEN,2021.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0019,,,2021.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Frederic VYGHEN,2021.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0020,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0021,,,2021.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Frederic VYGHEN,2021.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0022,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0023,,,2021.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0024,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pyrenaeus,worker,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0025,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pyrenaeus,worker,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0026,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0027,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pyrenaeus,worker,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0028,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0029,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
