step,approach,total,ok,suspect,skipped,failed,mean_time_s,total_time_s,updated_at
detection,light,2771,2733,0,0,38,0.1306,361.9225,2026-09-08T14:11:22+00:00
normalization,light,2771,0,0,2733,38,0.1106,306.4996,2026-09-08T14:16:29+00:00
landmarks,weights,0,0,0,0,0,0.0000,0.0614,2026-09-08T14:19:12+00:00
renumbering,hungarian_umeyama,2733,2600,20,0,113,0.0009,2.4594,2026-09-08T14:19:15+00:00
