id,image,status,score,reason
288676999224999913,data\images\crop\organized\organized_2020.00470_P2_0401963389a1bfe9.jpg,OK,6.223961976135949,
290921292800833131,data\images\crop\organized\organized_CollecYvan20_P2_04098f5fdafdb66b.jpg,OK,13.5270785697407,
301920521128818234,data\images\crop\organized\organized_CD388862_P1_0430a31d4448b63a.jpg,OK,12.473606587221184,
303728587075188185,data\images\crop\organized\organized_FR04ABOM220722087_P2_04370f8a6cbf75d9.jpg,OK,12.648169827835744,
307832630126149943,data\images\crop\organized\organized_ABAURA8203_S1_0445a42568f18137.jpg,OK,13.594055017739295,
337146161901495927,data\images\crop\organized\organized_CD388229c_S1_04adc8a5e1866677.jpg,OK,5.790932708003225,
342522315216041626,data\images\crop\organized\organized_FR15_ABOM09082020094_S1_04c0e23b1e18b69a.jpg,OK,12.758747838688727,
346645417678424464,data\images\crop\organized\organized_CD388230b_P1_04cf882bb7bd4990.jpg,OK,5.879354270308891,
363241283477439751,data\images\crop\organized\organized_VAN-2019.00814_S3_050a7e05d56e0507.jpg,OK,6.1030751321113,
370459519186941396,data\images\crop\organized\organized_OPIE_Lapi_D1_S2_052422f84cccb5d4.jpg,OK,13.690764420433467,
371051850668737621,data\images\crop\organized\organized_FR15ABOM060621003_S3_05263db1385c8455.jpg,OK,12.782677447518836,
372243104819130177,data\images\crop\organized\organized_CD388872b_S2_052a7921b0d52f41.jpg,OK,13.528492383237143,
375070490722585952,data\images\crop\organized\organized_OPIE_Lapi_220620b_S3_0534849fc5404d60.jpg,OK,12.5446804369172,
377243647200382427,data\images\crop\organized\organized_NoName7_P2_053c3d193126cddb.jpg,OK,12.903801005636616,
384439676747250553,data\images\crop\organized\organized_CD387577_S2_0555cdd96215fb79.jpg,OK,13.618656544583894,
387023065378845076,data\images\crop\terrain\terrain_WB1_23_0095_basile3_055efb6d6bc9f194.jpg,OK,12.513305913081094,
387356644004788787,data\images\crop\organized\organized_2007.0008_S2_05602ad0bf4afa33.jpg,OK,13.672869358576598,
400208061553549886,data\images\crop\organized\organized_POLLINIS4455_S2_058dd31c9125a23e.jpg,OK,12.448643287863483,
405993825114147364,data\images\crop\organized\organized_OPIE_Lapi_240620b_P1_05a2613b9eee4a24.jpg,OK,12.393113674719153,
424914135394432469,data\images\crop\organized\organized_CD388145_S3_05e59927a43a35d5.jpg,OK,13.624601140337214,
426075177167041238,data\images\crop\organized\organized_FR73ABOM120722070_S2_05e9b91dbea732d6.jpg,OK,13.654470937663563,
426139388295900421,data\images\crop\organized\organized_ABAURA57210_S2_05e9f384102ded05.jpg,OK,6.1597408286313176,
432302208724995738,data\images\crop\organized\organized_OPIE_Lapi_130720b_S1_05ffd89182ab8e9a.jpg,OK,13.47414858632573,
448201486491385000,data\images\crop\organized\organized_FR15ABOM220821043_P1_063854e0961efca8.jpg,OK,13.697217004377487,
456551950583126057,data\images\crop\organized\organized_ABAURA4915_S3_0655ff948404d829.jpg,OK,12.479309813968221,
457750306083949614,data\images\crop\terrain\terrain_WB1_23_0033_guilhem3_065a417a65f5cc2e.jpg,OK,12.248652209837516,
459723475602905823,data\images\crop\organized\organized_POLLINIS4343_S1_06614410ba381adf.jpg,OK,13.561462460137712,
466548037768742588,data\images\crop\organized\organized_FR73ABOM200722032_P2_067982f7eddc86bc.jpg,OK,13.607189945080886,
