image_id,specimen_id,dataset,collector,device_type,shot_index,raw_path,source_root,naming,ext,file_size_bytes,content_hash,status_ingest,is_duplicate_content
a9d61270a5b7b34f,FR15_ABOM09082020078,organized,,S,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM09082020078_S2.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1764612,a9d61270a5b7b34f,parsed_ok,False
29b8ba1f32ef065c,15L2021-1585,organized,,S,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/15L2021-1585_S1.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1724221,29b8ba1f32ef065c,parsed_ok,False
7d0722edb7e215c5,FR15_ABOM17082020015,organized,,S,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM17082020015_S2.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1831653,7d0722edb7e215c5,parsed_ok,False
c4a15cf927a0c403,FR15_ABOM17082020015,organized,,S,3,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM17082020015_S3.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1734653,c4a15cf927a0c403,parsed_ok,False
8b620e0382fc9181,FR15_ABOM25082020007,organized,,S,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM25082020007_S1.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1928338,8b620e0382fc9181,parsed_ok,False
e65cb2020323ae8c,FR15_ABOM09082020078,organized,,S,3,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM09082020078_S3.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1842537,e65cb2020323ae8c,parsed_ok,False
8ad23c0aa16dae18,FR15_ABOM25082020010,organized,,P,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM25082020010_P1.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4602489,8ad23c0aa16dae18,parsed_ok,False
a30330f21f0aeb47,NoName9,organized,,S,3,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/NoName9_S3.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1926006,a30330f21f0aeb47,parsed_ok,False
d7c74d5252023db2,FR15_ABOM30072020042,organized,,S,3,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM30072020042_S3.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1656091,d7c74d5252023db2,parsed_ok,False
204e502a2d01bad4,NoName10,organized,,P,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/NoName10_P1.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4837513,204e502a2d01bad4,parsed_ok,False
c8dbb97849e2df91,FR15_ABOM30072020042,organized,,S,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM30072020042_S1.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1639169,c8dbb97849e2df91,parsed_ok,False
24ca132787999367,FR15_ABOM30072020036,organized,,P,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM30072020036_P1.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4753372,24ca132787999367,parsed_ok,False
30a3625be4ef722a,NoName9,organized,,S,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/NoName9_S1.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1912527,30a3625be4ef722a,parsed_ok,False
