image_id,specimen_id,tps_id,image_path,is_labeled,status,registration_cost,n_outlier_landmarks,error_reason
015c71d8b11daf5a,OPIE_Lapi_200720,98078467393695578,data\crops_obb\organized\organized_OPIE_Lapi_200720_OPIE_Lapi_200720_S3_015c71d8b11daf5a.jpg,True,OK,0.0046360761100634265,0,
015f297ab0dd4102,CD388860b,98843323755479298,data\crops_obb\organized\organized_CD388860b_CD388860b_P1_015f297ab0dd4102.jpg,True,OK,0.0046748274732380975,0,
0160c6005b0ea7ae,FR04ABOM220722051,99296896632137646,data\crops_obb\organized\organized_FR04ABOM220722051_FR04ABOM220722051_P1_0160c6005b0ea7ae.jpg,True,OK,0.004384175621105353,0,
01779d3be0a1d825,CD387313,105725996763830309,data\crops_obb\organized\organized_CD387313_CD387313_S1_01779d3be0a1d825.jpg,True,OK,0.004267000767901005,0,
0180a4100172fd06,ABAURA7163,108266779707636998,data\crops_obb\organized\organized_ABAURA7163_ABAURA7163_P2_0180a4100172fd06.jpg,True,OK,0.00469212863138934,0,
01a88c14283fe83d,FR15_ABOM080820039,119499408327829565,data\crops_obb\organized\organized_FR15_ABOM080820039_FR15_ABOM080820039_S2_01a88c14283fe83d.jpg,True,OK,0.004735936054783542,0,
01aa1108e419edc8,N411,119927069963054536,data\crops_obb\vrac\vrac_N411_N411_S3_01aa1108e419edc8.jpg,True,OK,0.0046897216942021576,0,
01aa491171dbe2a8,SP3-2022-0081,119988679352246952,data\crops_obb\basile_m1\basile_m1_SP3-2022-0081_SP3-2022-0081-P-01_01aa491171dbe2a8.jpg,False,OK,0.004665249732961631,,
01c6f03b52bee877,CD387770b,128053777008617591,data\crops_obb\organized\organized_CD387770b_CD387770b_S1_01c6f03b52bee877.jpg,True,OK,0.004522527134681573,0,
01e6295858c15b14,ABAURA8606,136842298104306452,data\crops_obb\organized\organized_ABAURA8606_ABAURA8606_P1_01e6295858c15b14.jpg,True,OK,0.0043178764812343935,0,
01eb454eb6dd98b9,SP3-2022-0066,138280417942673593,data\crops_obb\basile_m1\basile_m1_SP3-2022-0066_SP3-2022-0066-P-02_01eb454eb6dd98b9.jpg,False,FAILED,inf,,"17 landmarks, 18 attendus"
01ed70b576f9f7db,ABAURA4923b,138891088205838299,data\crops_obb\organized\organized_ABAURA4923b_ABAURA4923b_S3_01ed70b576f9f7db.jpg,True,OK,0.004846860504874418,1,
01edd97ee6ca8f3c,CD388872,139006302579494716,data\crops_obb\organized\organized_CD388872_CD388872_S1_01edd97ee6ca8f3c.jpg,True,OK,0.004641154860387637,0,
01f0dd9dc03775eb,FR15ABOM060621003,139855258052949483,data\crops_obb\organized\organized_FR15ABOM060621003_FR15ABOM060621003_P2_01f0dd9dc03775eb.jpg,True,OK,0.004910676728600579,0,
01f5bcc58d9e9a97,ABAURA8206,141226520002599575,data\crops_obb\organized\organized_ABAURA8206_ABAURA8206_S2_01f5bcc58d9e9a97.jpg,True,OK,0.004558680582395168,0,
01f97bc64a44ee5c,SP3-2022-0263,142280954818653788,data\crops_obb\basile_m1\basile_m1_SP3-2022-0263_SP3-2022-0263-P-03_01f97bc64a44ee5c.jpg,False,FAILED,inf,,"5 landmarks, 18 attendus"
0207231b712f05e0,SP3-2022-0251,146124113682826720,data\crops_obb\basile_m1\basile_m1_SP3-2022-0251_SP3-2022-0251-S-03_0207231b712f05e0.jpg,False,FAILED,inf,,"16 landmarks, 18 attendus"
0214972d7977bd14,FR73ABOM120722021,149910909177281812,data\crops_obb\organized\organized_FR73ABOM120722021_FR73ABOM120722021_S3_0214972d7977bd14.jpg,True,OK,0.004577574422969067,0,
022309ba82e731bc,OPIE_Lapi_220620d,153977508925485500,data\crops_obb\organized\organized_OPIE_Lapi_220620d_OPIE_Lapi_220620d_S2_022309ba82e731bc.jpg,True,OK,0.004517466617852382,0,
022d3eead7391818,FR15ABOM200821202,156850740381947928,data\crops_obb\organized\organized_FR15ABOM200821202_FR15ABOM200821202_S1_022d3eead7391818.jpg,True,OK,0.004235639344949089,0,
0246a48fc2462d96,NoName12,163999373792259478,data\crops_obb\organized\organized_NoName12_NoName12_S1_0246a48fc2462d96.jpg,True,OK,0.004471662624532357,0,
025763c6ae12c0f9,SP3-2022-0130,168713216024822009,data\crops_obb\basile_m1\basile_m1_SP3-2022-0130_SP3-2022-0130-S-01_025763c6ae12c0f9.jpg,False,OK,0.00733653710896497,,
028cc460243b15b1,N180,183737602019104177,data\crops_obb\vrac\vrac_N180_N180_S2_028cc460243b15b1.jpg,True,OK,0.004424058130878632,0,
02a63dac27da97a3,WB1_23_0083,190907843822131107,data\crops_obb\terrain\terrain_WB1_23_0083_WB1_23_0083_3_02a63dac27da97a3.jpg,True,OK,0.00461269687542385,0,
02ab5c5868010632,NoName15,192348943865153074,data\crops_obb\organized\organized_NoName15_NoName15_P2_02ab5c5868010632.jpg,True,OK,0.004394480288298104,0,
02d85c5b92edaeb4,CD388860,205015331422187188,data\crops_obb\organized\organized_CD388860_CD388860_S1_02d85c5b92edaeb4.jpg,True,OK,0.004481160320824092,0,
02df35918e811989,SP3-2022-0068,206943007159687561,data\crops_obb\basile_m1\basile_m1_SP3-2022-0068_SP3-2022-0068-P-01_02df35918e811989.jpg,False,OK,0.006648960173461459,,
02e5238ce85e8441,SP3-2022-0175,208612045843498049,data\crops_obb\basile_m1\basile_m1_SP3-2022-0175_SP3-2022-0175-P-01_02e5238ce85e8441.jpg,False,FAILED,inf,,"17 landmarks, 18 attendus"
02ef4c24d1acb493,ATBI_GR5b,211471428529992851,data\crops_obb\organized\organized_ATBI_GR5b_ATBI_GR5b_S3_02ef4c24d1acb493.jpg,False,OK,0.004459746980213187,,
02efa49a0bf14638,N630,211568689041983032,data\crops_obb\vrac\vrac_N630_N630_P2_02efa49a0bf14638.jpg,True,OK,0.004469105213350876,0,
02f4b620e0055337,NoName1,212995334706910007,data\crops_obb\organized\organized_NoName1_NoName1_P1_02f4b620e0055337.jpg,True,OK,0.004530021926071945,0,
030433f33c5cc327,FR15ABOM200722066,217355801803408167,data\crops_obb\organized\organized_FR15ABOM200722066_FR15ABOM200722066_P1_030433f33c5cc327.jpg,True,OK,0.004135096331974964,0,
030d59618e0e9ce8,SP03-22-0072,219930232341044456,data\crops_obb\basile_m1\basile_m1_SP03-22-0072_SP03-22-0072-S-01_030d59618e0e9ce8.jpg,False,FAILED,inf,,"9 landmarks, 18 attendus"
031a5bd8f40606e7,SP3-2022-9032,223592118873360103,data\crops_obb\basile_m1\basile_m1_SP3-2022-9032_SP3-2022-9032-S-03_031a5bd8f40606e7.jpg,False,OK,0.005405265844683805,,
031cc18cdaa5ca6b,WB1_23_0017,224266892169562731,data\crops_obb\terrain\terrain_WB1_23_0017_WB1_23_0017_2_031cc18cdaa5ca6b.jpg,True,SUSPECT,0.006444312490692389,17,outlier post-GPA au sein de l'espèce sichelii (17 landmark(s) hors seuil)
0335adafc955a599,SP3-2022-9007,231281926388163993,data\crops_obb\basile_m1\basile_m1_SP3-2022-9007_SP3-2022-9007-P-01_0335adafc955a599.jpg,False,FAILED,inf,,"13 landmarks, 18 attendus"
033a4a57ee0a17f0,WB1_23_0111,232580072279250928,data\crops_obb\terrain\terrain_WB1_23_0111_WB1_23_0111_2_033a4a57ee0a17f0.jpg,True,OK,0.004287703129328174,0,
034340b8d1268aab,SP03-22-0103,235102768080521899,data\crops_obb\basile_m1\basile_m1_SP03-22-0103_SP03-22-0103-S-01_034340b8d1268aab.jpg,False,OK,0.0075451153889496015,,
0348921753b66b3b,SP3-2022-0116,236599609323318075,data\crops_obb\basile_m1\basile_m1_SP3-2022-0116_SP3-2022-0116-P-01_0348921753b66b3b.jpg,False,OK,0.005580228408132962,,
034d788d9bc940d8,CD388865d,237978904919883992,data\crops_obb\organized\organized_CD388865d_CD388865d_P1_034d788d9bc940d8.jpg,True,OK,0.004572111234109318,0,
035fdebe38c0cbcc,WB1_23_0016,243157813478607820,data\crops_obb\terrain\terrain_WB1_23_0016_WB1_23_0016_3_035fdebe38c0cbcc.jpg,True,FAILED,inf,,"3 landmarks, 18 attendus"
03608edc038587a0,FR73ABOM200722030,243351455481038752,data\crops_obb\organized\organized_FR73ABOM200722030_FR73ABOM200722030_S3_03608edc038587a0.jpg,True,OK,0.0043387382612539785,0,
03615507923c5b6c,CD388003,243569345861278572,data\crops_obb\organized\organized_CD388003_CD388003_S1_03615507923c5b6c.jpg,True,OK,0.0042773262005202616,0,
0364e7151bf10036,POLLINIS4455,244574357633957942,data\crops_obb\organized\organized_POLLINIS4455_POLLINIS4455_S3_0364e7151bf10036.jpg,True,OK,0.0047570041125837206,0,
036b5d0f8a6efa35,FR15ABOM210821077,246392925950245429,data\crops_obb\organized\organized_FR15ABOM210821077_FR15ABOM210821077_S1_036b5d0f8a6efa35.jpg,True,FAILED,inf,,"17 landmarks, 18 attendus"
03721dcaab9dea2c,CollecYvan8,248293685758650924,data\crops_obb\organized\organized_CollecYvan8_CollecYvan8_S1_03721dcaab9dea2c.jpg,True,OK,0.004479979827619523,0,
037bcbed713817da,SP3-2022-0244,251018424916383706,data\crops_obb\basile_m1\basile_m1_SP3-2022-0244_SP3-2022-0244-S-02_037bcbed713817da.jpg,False,OK,0.008172014056512446,,
0382b518a2374a3c,SP3-2022-0201,252963646491544124,data\crops_obb\basile_m1\basile_m1_SP3-2022-0201_SP3-2022-0201-P-01_0382b518a2374a3c.jpg,False,OK,0.0048406767910266395,,
03a19102bf6c070b,BAR-2018.00332,261649694351689483,data\crops_obb\organized\organized_BAR-2018.00332_BAR-2018.00332_P1_03a19102bf6c070b.jpg,True,OK,0.0045809149554004005,0,
03a43c4ebc9458cc,SP03-22-0103,262400987163285708,data\crops_obb\basile_m1\basile_m1_SP03-22-0103_SP03-22-0103-S-04_03a43c4ebc9458cc.jpg,False,OK,0.007353554877053565,,
03aa57d90555f07d,FR15ABOM210821147,264120117763633277,data\crops_obb\organized\organized_FR15ABOM210821147_FR15ABOM210821147_S2_03aa57d90555f07d.jpg,True,OK,0.004616434908274113,0,
03b2208052790e5b,N814,266311063479848539,data\crops_obb\vrac\vrac_N814_N814_S1_03b2208052790e5b.jpg,True,OK,0.004538327158850375,0,
03b489b51006f159,SP3-2022-0332,266989688672678233,data\crops_obb\basile_m1\basile_m1_SP3-2022-0332_SP3-2022-0332-P-03_03b489b51006f159.jpg,False,OK,0.004860978524472343,,
03b748c2054f1522,N205,267762701001757986,data\crops_obb\organized\organized_N205_N205_P2_03b748c2054f1522.jpg,True,OK,0.004658555512933719,0,
03f42e2e488b310e,FR73ABOM130722040,284903452751638798,data\crops_obb\organized\organized_FR73ABOM130722040_FR73ABOM130722040_S2_03f42e2e488b310e.jpg,True,OK,0.004469924270957208,0,
03f571709571e202,OPIE_Lapi_220620,285258879765438978,data\crops_obb\organized\organized_OPIE_Lapi_220620_OPIE_Lapi_220620_S3_03f571709571e202.jpg,True,OK,0.004640287082631767,0,
0401963389a1bfe9,2020.00470,288676999224999913,data\crops_obb\organized\organized_2020.00470_2020.00470_P2_0401963389a1bfe9.jpg,True,OK,0.004548784267950228,0,
04098f5fdafdb66b,CollecYvan20,290921292800833131,data\crops_obb\organized\organized_CollecYvan20_CollecYvan20_P2_04098f5fdafdb66b.jpg,True,OK,0.004384216860119858,0,
040be9d8471b55f9,SP3-2022-0224,291583716010710521,data\crops_obb\basile_m1\basile_m1_SP3-2022-0224_SP3-2022-0224-S-03_040be9d8471b55f9.jpg,False,FAILED,inf,,"16 landmarks, 18 attendus"
04167fdb8e9074e6,SP3-2022-0225,294563406605743334,data\crops_obb\basile_m1\basile_m1_SP3-2022-0225_SP3-2022-0225-P-01_04167fdb8e9074e6.jpg,False,OK,0.008373285699487863,,
0430a31d4448b63a,CD388862,301920521128818234,data\crops_obb\organized\organized_CD388862_CD388862_P1_0430a31d4448b63a.jpg,True,OK,0.00441766549549545,0,
04370f8a6cbf75d9,FR04ABOM220722087,303728587075188185,data\crops_obb\organized\organized_FR04ABOM220722087_FR04ABOM220722087_P2_04370f8a6cbf75d9.jpg,True,OK,0.00473296170414594,0,
0445a42568f18137,ABAURA8203,307832630126149943,data\crops_obb\organized\organized_ABAURA8203_ABAURA8203_S1_0445a42568f18137.jpg,True,OK,0.004398905451474939,0,
045d3f337c89c950,SP3-2022-0313,314477039351089488,data\crops_obb\basile_m1\basile_m1_SP3-2022-0313_SP3-2022-0313-P-03_045d3f337c89c950.jpg,False,FAILED,inf,,"16 landmarks, 18 attendus"
048527e3afe1afed,SP3-2022-9038,325710406916091885,data\crops_obb\basile_m1\basile_m1_SP3-2022-9038_SP3-2022-9038-P-03_048527e3afe1afed.jpg,False,FAILED,inf,,"10 landmarks, 18 attendus"
04911132f1bea79c,SP3-2022-0211,329063158276597660,data\crops_obb\basile_m1\basile_m1_SP3-2022-0211_SP3-2022-0211-S-02_04911132f1bea79c.jpg,False,OK,0.006302304654984929,,
04a035964042495d,SP3-2022-0239,333325291864869213,data\crops_obb\basile_m1\basile_m1_SP3-2022-0239_SP3-2022-0239-S-05_04a035964042495d.jpg,False,OK,0.007950615852784183,,
04adc8a5e1866677,CD388229c,337146161901495927,data\crops_obb\organized\organized_CD388229c_CD388229c_S1_04adc8a5e1866677.jpg,True,OK,0.0043997318407934475,1,
04c0e23b1e18b69a,FR15_ABOM09082020094,342522315216041626,data\crops_obb\organized\organized_FR15_ABOM09082020094_FR15_ABOM09082020094_S1_04c0e23b1e18b69a.jpg,True,SUSPECT,0.005837982315714442,14,outlier post-GPA au sein de l'espèce confusus (14 landmark(s) hors seuil)
04cf882bb7bd4990,CD388230b,346645417678424464,data\crops_obb\organized\organized_CD388230b_CD388230b_P1_04cf882bb7bd4990.jpg,True,OK,0.004529074954944274,0,
04ec6db505aa079b,SP3-2022-0219,354779094906963867,data\crops_obb\basile_m1\basile_m1_SP3-2022-0219_SP3-2022-0219-P-03_04ec6db505aa079b.jpg,False,OK,0.004164196565070257,,
050a7e05d56e0507,VAN-2019.00814,363241283477439751,data\crops_obb\organized\organized_VAN-2019.00814_VAN-2019.00814_S3_050a7e05d56e0507.jpg,True,SUSPECT,0.006494897180182628,12,outlier post-GPA au sein de l'espèce rupestris (12 landmark(s) hors seuil)
052422f84cccb5d4,OPIE_Lapi_D1,370459519186941396,data\crops_obb\organized\organized_OPIE_Lapi_D1_OPIE_Lapi_D1_S2_052422f84cccb5d4.jpg,True,OK,0.004447916813746002,0,
