inv_id,genus,species,caste,identifier_level,onsite_id,onsite_id_time_s,protocol_time_s,protocol_comment,ia1_id,ia1_top1,ia1_top3,ia2_id,ia2_top1,ia2_top3,ia3_id,ia3_top1,ia3_top3,dd,mm,yyyy,capture_locality,specimen_state,device.1,n_photos_S
WB1_23_0001,Bombus,soroeensis,,accomplished amateur,soroeensis,40.0,315.0,wind,pratorum,0.0,0.0,pratorum,0.0,0.0,wurflenii,0.0,0.0,1,7,2023,Sassière Tigne,alive,LG K40,3
WB1_23_0002,Bombus,ruderarius,,accomplished amateur,ruderarius,30.0,129.0,wind,pratorum,0.0,1.0,sylvarum,0.0,1.0,pratorum,0.0,1.0,1,7,2023,Sassière Tigne,alive,LG K40,3
WB1_23_0003,Bombus,monticola,,accomplished amateur,monticola,10.0,177.0,wind,pratorum,0.0,1.0,lapidarius,0.0,1.0,monticola,1.0,1.0,1,7,2023,Sassière Tigne,alive,LG K40,3
WB1_23_0004,Bombus,pyrenaeus,,accomplished amateur,pyrenaeus,40.0,180.0,wind,pratorum,0.0,0.0,lapidarius,0.0,0.0,lapidarius,0.0,0.0,1,7,2023,Sassière Tigne,alive,LG K40,3
WB1_23_0005,Bombus,ruderarius,,accomplished amateur,ruderarius,10.0,90.0,wind,pratorum,0.0,0.0,sylvarum,0.0,0.0,lapidarius,0.0,1.0,1,7,2023,Sassière Tigne,alive,LG K40,3
WB1_23_0006,Bombus,sichelii,,accomplished amateur,sichelii,10.0,100.0,wind,pratorum,0.0,0.0,pratorum,0.0,0.0,ruderarius,0.0,0.0,1,7,2023,Sassière Tigne,alive,LG K40,3
WB1_23_0007,Bombus,soroeensis,,accomplished amateur,soroeensis,15.0,115.0,wind,pratorum,0.0,0.0,ruderarius,0.0,0.0,pratorum,0.0,1.0,1,7,2023,Sassière Tigne,alive,LG K40,3
WB1_23_0008,Bombus,soroeensis,,accomplished amateur,soroeensis,15.0,110.0,wind,pratorum,0.0,1.0,soroeensis,1.0,1.0,pratorum,0.0,1.0,1,7,2023,Sassière Tigne,alive,LG K40,3
WB1_23_0009,Bombus,rupestris,,accomplished amateur,rupestris,20.0,120.0,wind,rupestris,1.0,1.0,rupestris,1.0,1.0,rupestris,1.0,1.0,1,7,2023,Sassière Tigne,alive,LG K40,3
WB1_23_0010,Bombus,ruderarius,,accomplished amateur,ruderarius,40.0,110.0,wind,pratorum,0.0,1.0,ruderarius,1.0,1.0,ruderarius,1.0,1.0,1,7,2023,Sassière Tigne,alive,LG K40,3
