original_id,source_type,photographer,device_type,shot_index,raw_path,ext,file_size_bytes,content_hash,status,status_reason
FR15ABOM210821171,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821171_S1.jpg,.jpg,1537668,7c0bebb486c52ad1,OK,
FR15ABOM210821171,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821171_S2.jpg,.jpg,1789224,d9f6d6fc75935966,OK,
FR15ABOM210821171,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821171_S3.jpg,.jpg,1689652,dd47f932e32ab106,OK,
FR15ABOM210821210,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821210_P1.JPG,.jpg,5126961,db44fa7f8f049b92,OK,
FR15ABOM210821210,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821210_P2.JPG,.jpg,5424278,1219fa3bdb3b1bbc,OK,
FR15ABOM210821210,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821210_S1.jpg,.jpg,1916803,12aed0790f7e23c7,OK,
FR15ABOM210821210,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821210_S2.jpg,.jpg,1840327,f2ec99c4f7a39258,OK,
FR15ABOM210821210,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821210_S3.jpg,.jpg,1873027,c30088cac32e6477,OK,
FR15ABOM210821212,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821212_P1.JPG,.jpg,5248169,9962ad4fbcb7cfa2,OK,
FR15ABOM210821212,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821212_P2.JPG,.jpg,5195014,0735214df99a29b6,OK,
FR15ABOM210821212,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821212_S1.jpg,.jpg,1917105,0d43d3afed072623,OK,
FR15ABOM210821212,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821212_S2.jpg,.jpg,1681984,5246006b21152322,OK,
FR15ABOM210821212,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821212_S3.jpg,.jpg,1963188,6c793a316c45df8e,OK,
FR15ABOM220821043,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821043_P1.JPG,.jpg,4738861,063854e0961efca8,OK,
FR15ABOM220821043,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821043_P2.JPG,.jpg,4798894,4a83ba3464b2c498,OK,
FR15ABOM220821043,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821043_S1.jpg,.jpg,1886446,47b86baf651bbfd9,OK,
FR15ABOM220821043,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821043_S2.jpg,.jpg,1781971,51648e2b0da57f93,OK,
