photo_id,inv_id,status,error_reason,n_landmarks_found,model_name,processing_time_s,processed_at
WB1_23_0024_S_3,WB1_23_0024,OK,,19,weights,0.0903,2026-09-11T09:28:03+00:00
WB1_23_0025_S_1,WB1_23_0025,OK,,19,weights,0.0902,2026-09-11T09:28:03+00:00
WB1_23_0025_S_2,WB1_23_0025,OK,,19,weights,0.0901,2026-09-11T09:28:04+00:00
WB1_23_0025_S_3,WB1_23_0025,OK,,19,weights,0.0885,2026-09-11T09:28:04+00:00
WB1_23_0026_S_1,WB1_23_0026,OK,,19,weights,0.0890,2026-09-11T09:28:04+00:00
WB1_23_0026_S_2,WB1_23_0026,OK,,19,weights,0.0897,2026-09-11T09:28:04+00:00
WB1_23_0026_S_3,WB1_23_0026,OK,,19,weights,0.0898,2026-09-11T09:28:04+00:00
WB1_23_0031_S_1,WB1_23_0031,OK,,19,weights,0.0898,2026-09-11T09:28:04+00:00
WB1_23_0031_S_2,WB1_23_0031,OK,,19,weights,0.0904,2026-09-11T09:28:04+00:00
WB1_23_0031_S_3,WB1_23_0031,OK,,19,weights,0.0883,2026-09-11T09:28:04+00:00
WB1_23_0032_S_1,WB1_23_0032,OK,,19,weights,0.0892,2026-09-11T09:28:04+00:00
WB1_23_0032_S_2,WB1_23_0032,OK,,19,weights,0.0931,2026-09-11T09:28:04+00:00
WB1_23_0032_S_3,WB1_23_0032,OK,,19,weights,0.0906,2026-09-11T09:28:04+00:00
WB1_23_0033_S_1,WB1_23_0033,OK,,19,weights,0.0907,2026-09-11T09:28:05+00:00
WB1_23_0033_S_2,WB1_23_0033,OK,,19,weights,0.0892,2026-09-11T09:28:05+00:00
WB1_23_0033_S_3,WB1_23_0033,OK,,19,weights,0.0909,2026-09-11T09:28:05+00:00
WB1_23_0034_S_1,WB1_23_0034,SUSPECT,only_18_of_19_expected_maxima,18,weights,0.0906,2026-09-11T09:28:05+00:00
WB1_23_0034_S_2,WB1_23_0034,SUSPECT,only_13_of_19_expected_maxima,13,weights,0.0887,2026-09-11T09:28:05+00:00
