source,SS,df,MS,F,p (permutation)
species,0.36706971958234647,11,0.03336997450748604,inf,
caste,0.07603862888525709,22,0.0034563013129662312,inf,
specimen_id,0.4169204579219192,473,0.0008814386002577572,inf,
Résiduel,0.0,1,0.0,,
