tps_id,inv_id,species,caste,device,device_tag
90,ARLY_0037,rupestris,drone,Smartphone Samsung s10,P2
91,ARLY_0037,rupestris,drone,Smartphone Samsung s10,P3
92,ARLY_0037,rupestris,drone,Smartphone Samsung s10,S1
93,ARLY_0037,rupestris,drone,Smartphone Samsung s10,S2
94,ARLY_0037,rupestris,drone,Smartphone Samsung s10,S3
95,ARLY_0049,lucorum,drone,Smartphone Samsung s10,P1
96,ARLY_0049,lucorum,drone,Smartphone Samsung s10,P2
97,ARLY_0049,lucorum,drone,Smartphone Samsung s10,S1
98,ARLY_0049,lucorum,drone,Smartphone Samsung s10,S2
99,ARLY_0049,lucorum,drone,Smartphone Samsung s10,S3
100,ARLY_0054,rupestris,fondatrice,Canon EOS 70D - 40mm,S4
101,ARLY_PRAT_0001,pratorum,drone,Smartphone Samsung s10,P1
102,ARLY_PRAT_0001,pratorum,drone,Smartphone Samsung s10,P2
103,ARLY_PRAT_0001,pratorum,drone,Smartphone Samsung s10,S1
104,ARLY_PRAT_0001,pratorum,drone,Smartphone Samsung s10,S2
105,ARLY_PRAT_0001,pratorum,drone,Smartphone Samsung s10,S3
106,ARLY_PRAT_0002,monticola,worker,Smartphone Samsung s10,P1
107,ARLY_PRAT_0002,monticola,worker,Smartphone Samsung s10,P2
108,ARLY_PRAT_0002,monticola,worker,Smartphone Samsung s10,S1
109,ARLY_PRAT_0002,monticola,worker,Smartphone Samsung s10,S2
110,ARLY_PRAT_0002,monticola,worker,Smartphone Samsung s10,S3
111,ARLY_PRAT_0003,pratorum,drone,Smartphone Samsung s10,P1
112,ARLY_PRAT_0003,pratorum,drone,Smartphone Samsung s10,P2
113,ARLY_PRAT_0003,pratorum,drone,Smartphone Samsung s10,S1
114,ARLY_PRAT_0003,pratorum,drone,Smartphone Samsung s10,S2
115,ARLY_PRAT_0003,pratorum,drone,Smartphone Samsung s10,S3
116,ARLY_PRAT_0004,pratorum,worker,Smartphone Samsung s10,P1
117,ARLY_PRAT_0004,pratorum,worker,Smartphone Samsung s10,P2
118,ARLY_PRAT_0004,pratorum,worker,Smartphone Samsung s10,S1
119,ARLY_PRAT_0004,pratorum,worker,Smartphone Samsung s10,S2
120,ARLY_PRAT_0004,pratorum,worker,Smartphone Samsung s10,S3
121,ARLY_PRAT_0005,pratorum,fondatrice,Smartphone Samsung s10,P1
122,ARLY_PRAT_0005,pratorum,fondatrice,Smartphone Samsung s10,P2
123,ARLY_PRAT_0005,pratorum,fondatrice,Smartphone Samsung s10,S1
124,ARLY_PRAT_0005,pratorum,fondatrice,Smartphone Samsung s10,S2
125,ARLY_PRAT_0005,pratorum,fondatrice,Smartphone Samsung s10,S3
126,ARLY_PRAT_0006,pratorum,drone,Smartphone Samsung s10,P1
127,ARLY_PRAT_0006,pratorum,drone,Smartphone Samsung s10,P2
128,ARLY_PRAT_0006,pratorum,drone,Smartphone Samsung s10,S2
129,ARLY_PRAT_0006,pratorum,drone,Smartphone Samsung s10,S3
130,ARLY_PRAT_0007,pratorum,drone,Smartphone Samsung s10,P1
131,ARLY_PRAT_0007,pratorum,drone,Smartphone Samsung s10,P2
132,ARLY_PRAT_0007,pratorum,drone,Smartphone Samsung s10,S1
133,ARLY_PRAT_0007,pratorum,drone,Smartphone Samsung s10,S2
134,ARLY_PRAT_0007,pratorum,drone,Smartphone Samsung s10,S3
135,ARLY_PRAT_0008,pratorum,drone,Smartphone Samsung s10,P1
136,ARLY_PRAT_0008,pratorum,drone,Smartphone Samsung s10,P2
137,ARLY_PRAT_0008,pratorum,drone,Smartphone Samsung s10,S2
138,ARLY_PRAT_0008,pratorum,drone,Smartphone Samsung s10,S3
139,ARLY_PRAT_0009,pratorum,fondatrice,Smartphone Samsung s10,P1
140,ARLY_PRAT_0009,pratorum,fondatrice,Smartphone Samsung s10,P2
141,ARLY_PRAT_0009,pratorum,fondatrice,Smartphone Samsung s10,S1
142,ARLY_PRAT_0009,pratorum,fondatrice,Smartphone Samsung s10,S2
143,ARLY_PRAT_0009,pratorum,fondatrice,Smartphone Samsung s10,S3
144,ARLY_PRAT_0010,pratorum,worker,Smartphone Samsung s10,P1
145,ARLY_PRAT_0010,pratorum,worker,Smartphone Samsung s10,P2
146,ARLY_PRAT_0010,pratorum,worker,Smartphone Samsung s10,S1
147,ARLY_PRAT_0010,pratorum,worker,Smartphone Samsung s10,S2
148,ARLY_PRAT_0010,pratorum,worker,Smartphone Samsung s10,S3
149,ARLY_PRAT_0011,pratorum,drone,Canon EOS 70D - 40mm,P1
150,ARLY_PRAT_0011,pratorum,drone,Canon EOS 70D - 40mm,P2
151,ARLY_PRAT_0011,pratorum,drone,Canon EOS 70D - 40mm,S1
152,ARLY_PRAT_0011,pratorum,drone,Canon EOS 70D - 40mm,S2
153,ARLY_PRAT_0012,pratorum,fondatrice,Smartphone Samsung s10,P1
154,ARLY_PRAT_0012,pratorum,fondatrice,Smartphone Samsung s10,P2
155,ARLY_PRAT_0012,pratorum,fondatrice,Smartphone Samsung s10,S1
156,ARLY_PRAT_0012,pratorum,fondatrice,Smartphone Samsung s10,S2
157,ARLY_PRAT_0012,pratorum,fondatrice,Smartphone Samsung s10,S3
158,ARLY_PRAT_0013,pratorum,worker,Smartphone Samsung s10,P1
159,ARLY_PRAT_0013,pratorum,worker,Smartphone Samsung s10,P2
160,ARLY_PRAT_0013,pratorum,worker,Smartphone Samsung s10,S1
161,ARLY_PRAT_0013,pratorum,worker,Smartphone Samsung s10,S2
162,ARLY_PRAT_0014,pratorum,drone,Smartphone Samsung s10,P1
163,ARLY_PRAT_0014,pratorum,drone,Smartphone Samsung s10,P2
164,ARLY_PRAT_0014,pratorum,drone,Smartphone Samsung s10,S1
165,ARLY_PRAT_0014,pratorum,drone,Smartphone Samsung s10,S2
166,ARLY_PRAT_0014,pratorum,drone,Smartphone Samsung s10,S3
167,ARLY_PRAT_0015,pratorum,drone,Smartphone Samsung s10,P1
168,ARLY_PRAT_0015,pratorum,drone,Smartphone Samsung s10,P2
169,ARLY_PRAT_0015,pratorum,drone,Smartphone Samsung s10,S1
170,ARLY_PRAT_0015,pratorum,drone,Smartphone Samsung s10,S2
171,ARLY_PRAT_0015,pratorum,drone,Smartphone Samsung s10,S3
172,ARLY_PRAT_0016,pratorum,worker,Canon EOS 70D - 40mm,P1
173,ARLY_PRAT_0016,pratorum,worker,Canon EOS 70D - 40mm,P2
