source,SS,df,MS,F,p (permutation)
Espèce (inter),2.0988369781129967,15,0.13992246520753313,168.61982008929303,0.005
"Appareil | espèce (inter, emboîté)",0.017645948343808282,16,0.0011028717714880176,1.3290649175887834,0.03
Résiduel (intra cellule espèce x appareil),2.4413019324927,2942,0.000829810310160673,,
