photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
ISSERTES_0157_P_2,ISSERTES_0157,2345,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0157_P_2.jpg,OK,0.0043512643276673,0.0,,0.0011
ISSERTES_0157_S_1,ISSERTES_0157,2346,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0157_S_1.jpg,OK,0.0044153178870464,0.0,,0.001
ISSERTES_0157_S_2,ISSERTES_0157,2347,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0157_S_2.jpg,OK,0.004481489485078,0.0,,0.001
ISSERTES_0157_S_3,ISSERTES_0157,2348,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0157_S_3.jpg,OK,0.0043597257527074,0.0,,0.001
ISSERTES_0158_P_1,ISSERTES_0158,2349,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0158_P_1.jpg,OK,0.0045651536781615,0.0,,0.0011
ISSERTES_0158_P_2,ISSERTES_0158,2350,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0158_P_2.jpg,OK,0.0045866853406587,0.0,,0.001
ISSERTES_0158_S_1,ISSERTES_0158,2351,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0158_S_1.jpg,OK,0.0046700142698948,0.0,,0.0013
ISSERTES_0158_S_2,ISSERTES_0158,2352,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0158_S_2.jpg,OK,0.0046299181154659,0.0,,0.0011
ISSERTES_0158_S_3,ISSERTES_0158,2353,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0158_S_3.jpg,OK,0.0046252624544445,0.0,,0.0011
ISSERTES_0159_P_1,ISSERTES_0159,2354,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0159_P_1.jpg,OK,0.0044417662942726,0.0,,0.001
ISSERTES_0159_P_2,ISSERTES_0159,2355,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0159_P_2.jpg,OK,0.0044440319690009,0.0,,0.001
ISSERTES_0159_S_1,ISSERTES_0159,2356,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0159_S_1.jpg,OK,0.0044293367204457,0.0,,0.001
ISSERTES_0159_S_2,ISSERTES_0159,2357,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0159_S_2.jpg,OK,0.0044819362529791,0.0,,0.001
ISSERTES_0159_S_3,ISSERTES_0159,2358,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0159_S_3.jpg,OK,0.0044798495772776,1.0,,0.001
ISSERTES_0160_P_1,ISSERTES_0160,2359,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0160_P_1.jpg,OK,0.0043348909716634,0.0,,0.0012
