image_id,specimen_id,tancrede_image_path,matched_via,status,reason,n_out_of_bounds,aspect_ratio_obb,aspect_ratio_crops_csv,keep
8cb716fe95da0f35,OPIE_Lapi_270702,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_lapidarius/worker/OPIE_Lapi_270702_P1.JPG,tail3,OK,,0,2.2837,2.2837,
ba253838581941fa,CD388235,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/worker/CD388235_P1.JPG,tail3,OK,,0,2.3352,2.3352,
fec0e2ce9edaafe7,NoName13,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sylvarum/male/NoName13_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.0935,2.0935,
c93976c44a2a03b0,FR04ABOM220722054,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_ruderarius/male/FR04ABOM220722054_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.3461,2.3461,
70c3419ebab57613,ABAURA8238c,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sichelii/worker/ABAURA8238c_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2694,2.2694,
fb559a0c04786643,OPIE_Lapi_130720c,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_lapidarius/worker/OPIE_Lapi_130720c_P1.JPG,tail3,OK,,0,2.3151,2.3151,
f70e86c1fd31489e,ABAURA7155,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pratorum/queen/ABAURA7155_P1.JPG,tail3,OK,,0,2.1687,2.1687,
69ae4f428ff53ce3,Polset_1,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_monticola/worker/Polset_1_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2853,2.2853,
8ace3c513e8b7bfb,VAN-2019.00849,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_rupestris/male/VAN-2019.00849_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.1277,2.1277,
8e8b6bd46510124c,CD388229b,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/worker/CD388229b_P1.JPG,tail3,OK,,0,2.2837,2.2837,
a4f478c94267c342,15L2021-1498,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_rupestris/male/15L2021-1498_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.4209,2.4209,
28fdf9f62edaa192,ABAURA8203,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sichelii/worker/ABAURA8203_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.3982,2.3982,
4cbe479796b954c7,CollecYvan16,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_monticola/worker/CollecYvan16_P1.JPG,tail3,OK,,0,2.2177,2.2177,
a19122fdffe22e27,CD388861b,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pyrenaeus/worker/CD388861b_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.5083,2.5083,
abf0eb1da221fd6a,ABAURA4926,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pratorum/worker/ABAURA4926_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,1.7427,1.7427,
25023ee86708d4cb,2020.06244,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_rupestris/male/2020.06244_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.1467,2.1467,
3436bf37f48bc9fa,POLLINIS4415,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pomorum/worker/POLLINIS4415_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.0862,2.0862,
25cc079babff097e,FR15ABOM210821177,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sylvarum/male/FR15ABOM210821177_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2026,2.2026,
f26bca0a30ed5d84,FR73ABOM130722006,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pyrenaeus/worker/FR73ABOM130722006_P1.JPG,tail3,OK,,0,2.2984,2.2984,
4d8889627865d95f,ABAURA8150,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/worker/ABAURA8150_P1.JPG,tail3,OK,,0,2.4561,2.4561,
b0527ca4dcd08ca4,VAN-2019.00787,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_rupestris/male/VAN-2019.00787_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.0105,2.0105,
e4823bf4fe74d748,FR73ABOM120722026,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sichelii/male/FR73ABOM120722026_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.3473,2.3473,
6e4e5e8fc31f4e89,ABAURA8208b,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sichelii/worker/ABAURA8208b_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2658,2.2658,
d9b67d5517603d76,FR15_ABOM25082020007,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sylvarum/male/FR15_ABOM25082020007_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.0267,2.0267,
a641a660bcaa2d46,ABAURA8238,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pratorum/male/ABAURA8238_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.7349,2.7349,
70472ad48a3260cc,ABAURA4904,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_ruderarius/worker/ABAURA4904_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.1486,2.1486,
4a2010ba82bf8592,FR15ABOM210821107,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pomorum/male/FR15ABOM210821107_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.0505,2.0505,
37a7207027a8adec,FR73ABOM130722040,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pyrenaeus/male/FR73ABOM130722040_P1.JPG,tail3,OK,,0,2.3003,2.3003,
8554ea5143a30b4c,POLLINIS5943,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/male/POLLINIS5943_P1.JPG,tail3,OK,,0,2.1897,2.1897,
6ed883c199116c26,FR73ABOM120722021,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pyrenaeus/worker/FR73ABOM120722021_P1.JPG,tail3,OK,,0,2.2063,2.2063,
9b72421d0cffd340,VAN-2019.00795,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_ruderarius/worker/VAN-2019.00795_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.3174,2.3174,
