idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
52,WB1_23_0003_1,OK,1243,2999,364,222,-1.637,0.935,0.794,1.64,1,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0003_1.jpg,data/images/crop/terrain/charlotte/WB1_23_0003_1.jpg
53,WB1_23_0003_2,OK,1173,2930,358,213,-1.432,0.894,0.769,1.68,2,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0003_2.jpg,data/images/crop/terrain/charlotte/WB1_23_0003_2.jpg
54,WB1_23_0003_3,OK,1294,3334,254,143,-8.427,0.467,0.788,1.78,3,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0003_3.jpg,data/images/crop/terrain/charlotte/WB1_23_0003_3.jpg
55,WB1_23_0004_1,OK,1563,2653,159,399,0.0,0.608,0.839,2.51,3,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0004_1.jpg,data/images/crop/terrain/charlotte/WB1_23_0004_1.jpg
56,WB1_23_0004_2,OK,1502,2909,145,385,0.0,0.596,0.856,2.66,3,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0004_2.jpg,data/images/crop/terrain/charlotte/WB1_23_0004_2.jpg
57,WB1_23_0004_3,OK,1226,3210,159,403,0.0,0.572,0.848,2.54,3,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0004_3.jpg,data/images/crop/terrain/charlotte/WB1_23_0004_3.jpg
58,WB1_23_0005_1,SUSPECT,1346,1808,580,562,-90.0,0.099,0.444,1.03,1,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0005_1.jpg,data/images/crop/terrain/charlotte/WB1_23_0005_1.jpg
59,WB1_23_0005_2,OK,1590,3145,181,453,0.0,0.752,0.841,2.5,2,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0005_2.jpg,data/images/crop/terrain/charlotte/WB1_23_0005_2.jpg
60,WB1_23_0005_3,OK,1387,3528,177,399,0.0,0.705,0.888,2.26,1,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0005_3.jpg,data/images/crop/terrain/charlotte/WB1_23_0005_3.jpg
61,WB1_23_0006_1,OK,1444,3439,187,422,15.945,0.941,0.899,2.26,3,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0006_1.jpg,data/images/crop/terrain/charlotte/WB1_23_0006_1.jpg
62,WB1_23_0006_2,OK,1289,3129,150,285,0.0,0.892,0.802,1.91,2,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0006_2.jpg,data/images/crop/terrain/charlotte/WB1_23_0006_2.jpg
63,WB1_23_0006_3,OK,1384,2544,131,295,0.0,0.638,0.852,2.24,2,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0006_3.jpg,data/images/crop/terrain/charlotte/WB1_23_0006_3.jpg
64,WB1_23_0007_1,SUSPECT,1871,1822,680,662,-90.0,0.314,0.413,1.03,1,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0007_1.jpg,data/images/crop/terrain/charlotte/WB1_23_0007_1.jpg
65,WB1_23_0007_2,OK,1127,3058,180,396,10.784,0.796,0.88,2.2,2,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0007_2.jpg,data/images/crop/terrain/charlotte/WB1_23_0007_2.jpg
66,WB1_23_0007_3,OK,1138,3379,184,384,15.255,0.811,0.916,2.09,3,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0007_3.jpg,data/images/crop/terrain/charlotte/WB1_23_0007_3.jpg
67,WB1_23_0008_1,OK,1187,3244,136,335,0.0,0.502,0.834,2.47,3,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0008_1.jpg,data/images/crop/terrain/charlotte/WB1_23_0008_1.jpg
68,WB1_23_0008_2,OK,1025,3310,209,462,14.036,0.717,0.862,2.21,2,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0008_2.jpg,data/images/crop/terrain/charlotte/WB1_23_0008_2.jpg
69,WB1_23_0008_3,OK,1273,2812,168,462,0.0,0.597,0.736,2.76,4,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0008_3.jpg,data/images/crop/terrain/charlotte/WB1_23_0008_3.jpg
70,WB1_23_0009_1,OK,1388,2617,235,515,3.013,0.215,0.705,2.19,2,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0009_1.jpg,data/images/crop/terrain/charlotte/WB1_23_0009_1.jpg
71,WB1_23_0009_2,OK,1280,3133,322,766,0.0,0.791,0.74,2.38,3,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0009_2.jpg,data/images/crop/terrain/charlotte/WB1_23_0009_2.jpg
72,WB1_23_0009_3,OK,1187,3208,254,589,0.0,0.741,0.707,2.32,2,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0009_3.jpg,data/images/crop/terrain/charlotte/WB1_23_0009_3.jpg
73,WB1_23_0010_1,OK,1271,2680,168,449,0.0,0.054,0.609,2.68,1,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0010_1.jpg,data/images/crop/terrain/charlotte/WB1_23_0010_1.jpg
74,WB1_23_0010_2,OK,1022,2796,181,485,0.0,0.051,0.596,2.68,1,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0010_2.jpg,data/images/crop/terrain/charlotte/WB1_23_0010_2.jpg
75,WB1_23_0010_3,OK,979,2926,218,555,6.843,0.963,0.805,2.54,2,/Volumes/EXT DATA/IDMB/images/terrain/charlotte/WB1_23_0010_3.jpg,data/images/crop/terrain/charlotte/WB1_23_0010_3.jpg
