device,n,accuracy,shape_variance
P1,514,0.9377431906614786,0.0012797574605177635
P2,510,0.9294117647058824,0.0013108749665207873
P3,20,0.95,0.0014075849248163011
P4,7,0.7142857142857143,0.003791537823940331
P5,4,0.75,0.0005556533642124583
S1,514,0.9455252918287937,0.0012688176923283253
S2,513,0.9298245614035088,0.0012558407020181156
S3,519,0.9421965317919075,0.0013103721305522328
S4,5,0.8,0.0010784712806220836
S5,6,0.5,0.007178292198318219
