epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,3340.63,0.50406,0.20014,0.06066,0.02383,0.97941,0.98166,0.99247,0.88993,0.4756,0.1898,0.00615,0.02654,0.0012872,0.0012872,0.0012872
38,3427.93,0.51865,0.19769,0.05897,0.02655,0.9844,0.97898,0.99261,0.89381,0.48318,0.19753,0.00616,0.02615,0.0012674,0.0012674,0.0012674
39,3515.9,0.50362,0.20028,0.05226,0.02364,0.97347,0.98449,0.99176,0.88893,0.48129,0.1852,0.00623,0.02834,0.0012476,0.0012476,0.0012476
40,3605.64,0.48979,0.19513,0.04772,0.02126,0.97055,0.97621,0.99116,0.88569,0.4985,0.19283,0.00631,0.02916,0.0012278,0.0012278,0.0012278
41,3693.98,0.49027,0.20334,0.0468,0.02193,0.9745,0.97032,0.98957,0.87149,0.53357,0.21669,0.00653,0.02439,0.001208,0.001208,0.001208
42,3781.97,0.48784,0.1987,0.04917,0.02182,0.97061,0.97884,0.99072,0.86483,0.55574,0.21575,0.00733,0.02735,0.0011882,0.0011882,0.0011882
43,3871.14,0.47082,0.18402,0.04574,0.0199,0.98022,0.97859,0.99232,0.88496,0.50054,0.18682,0.00643,0.02395,0.0011684,0.0011684,0.0011684
44,3967.02,0.48177,0.19472,0.04398,0.02215,0.96804,0.98273,0.99201,0.90026,0.47598,0.18843,0.0064,0.02515,0.0011486,0.0011486,0.0011486
45,4054.57,0.50475,0.20125,0.04152,0.02395,0.97071,0.98165,0.99164,0.88674,0.51847,0.21365,0.00774,0.0383,0.0011288,0.0011288,0.0011288
46,4143.21,0.48476,0.18909,0.04438,0.02254,0.97898,0.98872,0.99208,0.8946,0.48247,0.18915,0.00613,0.02997,0.001109,0.001109,0.001109
47,4231.78,0.46987,0.19189,0.04336,0.02142,0.97761,0.98543,0.99245,0.90012,0.458,0.18568,0.006,0.02809,0.0010892,0.0010892,0.0010892
48,4320.01,0.46683,0.18495,0.04427,0.0195,0.97527,0.98307,0.98995,0.89543,0.47229,0.19516,0.00616,0.02522,0.0010694,0.0010694,0.0010694
49,4407.8,0.46366,0.17451,0.04419,0.01977,0.97053,0.99154,0.99066,0.89556,0.46294,0.19134,0.00616,0.02402,0.0010496,0.0010496,0.0010496
50,4496.06,0.46445,0.18323,0.04606,0.02012,0.98085,0.9859,0.989,0.88715,0.48151,0.19102,0.00617,0.02525,0.0010298,0.0010298,0.0010298
51,4585.1,0.45435,0.17408,0.04633,0.0191,0.98315,0.98754,0.99033,0.8899,0.47377,0.18279,0.0062,0.02409,0.00101,0.00101,0.00101
