source,SS,df,MS,F,p (permutation)
species,1.3117931158007412,11,0.1192539196182492,1604.9739334311014,0.001
caste,0.2565516324685029,22,0.011661437839477403,156.944977729891,0.001
specimen_id,0.7954765718500414,442,0.0017997207507919489,24.2214671159044,0.001
device,0.05813775499175655,476,0.00012213814073898437,1.6437911038171975,0.001
Résiduel,0.07103339486101401,956,7.43027142897636e-05,,
